seed,act1,act2,ratio,layout,hidden,lr,epochs,loss,status,seconds,train_acc,val_acc,val_f1,test_acc,test_f1,best_val_acc,best_val_epoch,epoch_loss,epoch_train_acc,epoch_val_acc,epoch_val_f1,test_confusion
103,relu,relu,0,interleave,32,0.0001,10,ce,ok,99.3584,39.0911,38.34,37.3067,38.96,38.0233,38.62,9,2.16351|1.98647|1.91776|1.87532|1.83543|1.80128|1.77376|1.75109|1.73021|1.71026,21.6267|28|31.2533|33.1156|34.42|35.6533|36.54|37.5156|38.1467|39.0911,26.02|29.46|31.7|33.36|34.66|35|36.32|36.7|38.62|38.34,21.4514|24.6506|28.9461|30.6929|33.295|33.7726|34.9759|36.0034|37.9592|37.3067,514|76|37|27|22|17|28|56|159|64|68|539|11|19|13|30|47|37|82|154|146|49|170|59|183|78|171|94|34|16|66|86|80|189|49|206|151|97|30|46|82|45|98|33|323|55|179|135|26|24|52|44|87|127|70|324|116|116|39|25|15|45|68|81|126|101|494|34|9|27|70|54|39|45|115|60|57|459|21|80|201|147|15|25|5|37|6|26|448|90|77|234|13|23|11|20|40|52|94|436
102,relu,relu,0,interleave,32,0.0001,10,ce,ok,99.3692,39.58,38.4,36.0848,38.92,36.7011,38.48,9,2.22943|2.03011|1.94341|1.89339|1.85233|1.81676|1.78537|1.76037|1.7371|1.71379,17.2844|26.5444|29.9711|32.6689|34.5844|36.0533|36.9289|37.8|38.7089|39.58,24.38|27.44|30.74|33.8|35.06|35.74|36.62|37|38.48|38.4,19.5463|23.4939|26.7207|32.3029|33.4228|35.1261|35.8131|35.77|37.3371|36.0848,416|124|20|8|13|32|31|59|243|54|35|637|3|9|5|41|48|43|79|100|112|82|130|25|133|122|221|101|61|13|38|130|48|86|30|306|186|90|50|36|58|57|68|14|249|104|255|136|42|17|32|84|51|40|46|396|155|122|56|18|9|79|40|27|68|107|598|43|14|15|44|99|24|17|81|80|83|465|33|74|83|186|9|4|7|60|10|18|557|66|39|353|5|10|6|21|52|50|106|358
102,relu,relu,0,interleave,32,0.0003,10,ce,ok,99.4815,45.9089,44.06,42.2252,44.77,42.9188,44.06,10,2.08009|1.87361|1.78337|1.71731|1.67014|1.63181|1.5981|1.57235|1.55069|1.53105,23.6222|33.0889|36.5511|38.9911|40.5489|42.0933|43.2467|44.4644|45.1044|45.9089,29.46|35.02|37.1|39.78|41.1|40.92|40.9|43.02|43.38|44.06,27.0336|34.5741|35.0867|38.9521|40.4533|41.1094|39.8778|41.8939|42.3004|42.2252,468|103|35|13|37|14|30|46|207|47|24|746|4|9|18|24|20|25|54|76|100|59|165|42|205|82|225|66|40|16|29|71|44|150|88|233|239|63|33|50|61|35|65|16|415|58|225|82|30|13|23|50|59|100|101|364|159|89|34|21|5|39|28|30|114|52|681|26|14|11|47|65|32|29|125|62|81|470|18|71|82|150|3|13|28|35|14|14|614|47|31|372|4|14|16|16|34|44|65|404
101,relu,relu,0,interleave,32,0.0001,10,ce,ok,99.5179,38.2267,37.82,36.5568,39.06,37.9867,37.82,10,2.24344|2.02565|1.92191|1.87557|1.84299|1.81831|1.7978|1.77871|1.7587|1.73754,18.4|27.0556|30.8822|32.92|34.3244|35.0578|35.9178|36.68|37.3933|38.2267,24.38|29.12|31.56|33.64|34.62|34.58|35.92|35.84|37.02|37.82,19.6237|25.8236|28.6024|31.257|32.6374|32.4277|34.8013|35.2873|36.3119|36.5568,466|54|35|40|7|7|32|46|209|104|44|483|12|31|6|17|50|24|113|220|140|40|190|95|100|50|215|87|49|34|49|71|66|264|28|158|160|68|50|86|70|25|115|90|219|27|268|105|40|41|41|52|77|182|37|264|146|89|81|31|17|51|61|109|70|54|548|38|14|38|49|49|50|87|86|26|102|387|43|121|120|98|5|33|2|27|10|18|525|162|38|167|6|28|5|6|34|41|115|560
103,relu,relu,0,interleave,32,0.0003,10,ce,ok,99.5411,44.6044,43.12,41.7006,44.2,42.8795,44.12,9,2.03373|1.85957|1.78262|1.72884|1.68446|1.6473|1.61856|1.59643|1.57749|1.56061,25.6733|33.3|36.1267|38.0422|39.8644|41.2933|42.5889|43.1378|43.9978|44.6044,30.82|35.28|36.58|38.24|39.14|40.8|42.16|39.3|44.12|43.12,27.1588|33.8141|35.7578|36.8745|38.3983|39.9814|40.3963|37.6872|43.3664|41.7006,568|82|40|2|34|11|28|36|127|72|58|666|6|9|19|16|20|26|39|141|135|58|223|42|189|70|160|68|28|27|72|84|75|157|86|192|178|61|31|64|88|52|111|17|422|34|151|82|21|22|50|78|82|100|94|308|123|98|35|32|17|41|62|37|141|52|566|35|17|32|66|59|46|29|109|53|46|484|10|98|166|130|9|10|17|19|13|10|530|96|55|288|9|11|12|13|33|35|48|496
101,relu,relu,0,interleave,32,0.0003,10,ce,ok,99.5979,44.5267,43.32,42.1057,43.6,42.6226,43.98,9,2.07264|1.86283|1.79691|1.74019|1.68852|1.64989|1.6202|1.59698|1.5739|1.55619,24.5311|33.24|35.4733|37.6689|39.5|41.0933|42.0356|43.0044|43.8667|44.5267,32.04|34.78|36.52|38.3|40.22|40.98|42.26|41.94|43.98|43.32,29.4435|32.4779|34.1558|36.4419|39.11|39.8338|41.5204|41.0945|43.6527|42.1057,368|16|54|62|25|8|23|51|277|116|23|388|8|55|14|7|28|34|114|329|65|25|243|164|126|33|170|92|49|33|24|18|65|444|46|90|134|62|37|80|50|6|115|118|338|10|178|109|37|39|13|11|74|356|53|184|112|92|54|51|3|10|53|182|100|18|550|25|19|40|19|19|45|106|76|35|57|504|24|115|55|30|14|53|14|5|9|18|684|118|17|93|4|56|13|9|24|41|86|657
103,relu,relu,0,interleave,32,0.003,10,ce,ok,101.445,44.4311,42.76,41.4023,43.87,42.5343,44.82,9,1.88688|1.73875|1.68938|1.65197|1.62541|1.6009|1.58296|1.56836|1.55799|1.54715,31.0511|37.3267|39.2644|40.3733|41.3667|42.3822|43.1933|43.3667|44.1289|44.4311,35.32|39.92|40.3|38.74|42|40.9|41.9|39.94|44.82|42.76,33.2664|38.4305|39.1853|37.5535|41.1432|40.7746|40.4191|39.1078|43.538|41.4023,355|60|80|16|35|19|29|47|212|147|17|584|19|11|19|16|25|16|57|236|72|52|274|52|194|56|126|82|31|61|19|48|111|119|116|184|182|71|50|100|34|25|153|21|438|22|126|94|33|54|10|49|88|79|126|317|109|107|60|55|4|26|60|28|181|35|568|32|17|49|24|44|50|32|96|64|35|485|24|146|46|87|11|14|32|12|8|7|620|163|20|191|7|10|18|10|29|31|57|627
102,relu,relu,0,interleave,32,0.003,10,ce,ok,101.538,44.7867,43.88,42.5802,44.68,43.3969,43.88,10,1.90185|1.74276|1.69267|1.6506|1.62342|1.60072|1.58308|1.56916|1.55741|1.54716,30.3511|37.0089|39.0178|40.74|41.9267|42.5289|43.3911|44.0133|44.0844|44.7867,36.3|37.84|39.88|42.24|42.24|39.94|40.56|40.1|39.46|43.88,35.1929|36.9701|38.342|41.2387|41.4709|40.0168|39.8095|38.8156|38.1275|42.5802,462|95|30|21|34|10|43|63|146|96|21|655|7|16|13|11|28|42|47|160|94|40|188|71|171|63|222|96|24|31|20|43|50|214|71|155|257|69|29|92|61|20|62|35|383|35|236|110|20|38|15|28|52|162|90|295|169|109|30|50|1|23|34|43|114|38|671|22|11|43|50|29|30|48|94|51|66|522|12|98|112|115|8|21|16|15|23|14|558|118|29|278|8|14|21|12|41|37|40|520
102,relu,relu,0,interleave,32,0.001,10,ce,ok,101.77,47.0133,45.92,44.5882,46.11,44.785,45.92,10,1.95425|1.75849|1.68177|1.6273|1.58645|1.5564|1.53251|1.51611|1.50133|1.48615,28.6311|36.7489|39.6644|41.8244|43.2333|44.2533|45.2622|45.6467|46.2956|47.0133,34.44|37.26|41.32|42.26|43.66|42.34|41.3|43.84|44.16|45.92,33.5465|37.0616|39.9277|41.4124|43.2182|43.0578|40.2197|42.9531|42.7807|44.5882,558|93|36|24|24|13|50|34|130|38|33|726|6|13|12|25|28|22|50|85|100|47|213|51|183|87|214|68|21|16|44|57|60|186|61|211|249|75|25|32|76|21|77|33|431|38|215|87|16|6|30|30|73|128|70|343|187|87|30|22|7|27|31|40|123|46|690|19|9|8|73|32|41|46|101|69|89|480|15|54|137|125|13|19|15|28|25|20|564|54|53|320|12|19|17|19|46|36|58|420
101,relu,relu,0,interleave,32,0.001,10,ce,ok,101.784,46.3911,43.7,42.0108,44.86,43.4486,44.2,9,1.95201|1.75926|1.68281|1.63265|1.59494|1.5654|1.54183|1.52459|1.50534|1.4928,28.3022|36.7356|39.5933|41.3978|42.7556|43.8756|44.6622|45.5756|46.2133|46.3911,36.42|37.86|39.7|40.32|43.52|43.66|42.46|43.54|44.2|43.7,35.0852|36.4655|37.4559|39.0375|41.8354|42.4058|42.218|42.1663|43.3595|42.0108,330|30|54|42|34|9|31|37|334|99|13|458|6|36|13|9|26|33|153|253|46|29|166|122|185|48|204|86|70|44|8|15|46|368|57|97|183|52|67|107|24|9|59|80|368|24|240|94|57|45|3|11|48|277|64|251|126|83|79|58|1|16|27|120|80|20|643|18|26|49|19|17|31|85|86|47|55|492|47|121|27|31|6|26|23|5|12|10|760|100|14|105|1|40|6|10|21|34|119|650
