seed,act1,act2,ratio,layout,hidden,lr,epochs,loss,status,seconds,train_acc,val_acc,val_f1,test_acc,test_f1,best_val_acc,best_val_epoch,epoch_loss,epoch_train_acc,epoch_val_acc,epoch_val_f1,test_confusion
2,relu,relu,0,interleave,512,0.001,10,ce,ok,2013.19,54.18,50.06,48.8077,50.54,49.5548,50.06,10,1.89606|1.67669|1.58315|1.51808|1.46618|1.42364|1.38514|1.3504|1.31489|1.28466,31.28|40.0289|43.3289|45.6556|47.6133|49.0689|50.5644|51.7333|53.0289|54.18,37.74|42.4|44.74|45|46.14|46.86|48|48.74|49.2|50.06,36.0394|41.0827|44.2558|42.9237|45.304|46.5291|46.1206|48.4434|48.3112|48.8077,618|46|28|15|14|5|20|9|175|70|31|672|10|19|5|6|12|9|84|152|133|19|315|105|135|36|145|32|51|29|58|37|71|396|45|88|155|23|63|64|93|24|100|70|437|16|147|39|55|19|53|21|92|288|64|242|108|30|66|36|17|28|38|89|113|13|642|7|29|24|88|30|61|86|96|41|41|424|31|102|95|65|9|19|5|3|8|4|717|75|36|220|10|38|8|4|14|12|67|591
5,relu,relu,0,interleave,512,0.001,10,ce,ok,2013.75,54.1511,50.66,49.1502,51.68,50.2381,50.66,10,1.89189|1.67746|1.58024|1.51594|1.46732|1.42403|1.38328|1.34816|1.31243|1.28283,31.4844|39.9822|43.5956|45.9533|47.8778|49.3467|50.6556|51.8178|53.04|54.1511,37.34|41.42|43.2|45.3|46.82|48.32|48.68|48.56|48.78|50.66,36.514|39.883|42.5532|43.6868|46.278|47.955|47.6191|48.8562|48.0044|49.1502,493|21|71|4|33|14|30|51|237|46|32|545|17|9|8|24|20|38|128|179|54|11|413|22|119|87|119|117|38|20|33|8|101|131|61|269|176|104|42|75|39|8|141|12|404|39|138|154|42|23|18|7|96|65|60|452|96|139|34|33|8|7|72|13|103|49|645|48|20|35|17|5|45|21|46|67|24|687|29|59|45|33|15|7|20|25|15|22|766|52|23|102|13|14|6|20|24|54|112|632
1,relu,relu,0,interleave,512,0.001,10,ce,ok,2013.86,54.1333,49.86,49.54,51.14,50.9273,49.86,10,1.88957|1.67475|1.5827|1.5162|1.46688|1.42101|1.38287|1.3476|1.31429|1.28326,31.4311|40.0844|43.5289|45.9444|47.5067|49.0578|50.6667|51.9467|53.0444|54.1333,36.62|40.04|43.82|45.7|42.62|48.5|49.08|48.44|47.82|49.86,35.4564|39.5061|42.8386|45.2802|41.0697|47.4793|47.9651|47.8708|46.272|49.54,645|28|68|26|28|3|26|8|83|85|56|537|19|31|7|7|14|8|34|287|87|17|472|102|110|35|98|29|16|34|45|20|110|417|50|96|160|19|20|63|68|14|199|72|427|17|117|42|19|25|36|10|145|322|60|241|94|34|19|39|11|17|93|82|100|18|633|9|7|30|61|25|107|97|79|45|33|474|6|73|154|51|12|36|15|10|10|6|563|143|56|84|17|43|13|9|26|26|21|705
3,relu,relu,0,interleave,512,0.001,10,ce,ok,2014.12,54.2467,50.34,49.8537,50.58,50.0183,50.34,10,1.88981|1.67783|1.58475|1.51899|1.47095|1.42476|1.38526|1.35066|1.31686|1.28606,31.5489|39.7867|43.4867|45.7267|47.4622|49.3667|50.7289|51.9311|53.0311|54.2467,38.38|40.1|43.14|46.52|46.64|47.04|49.32|50.08|49.08|50.34,36.9365|37.2731|41.6204|45.5745|46.7707|45.644|48.8787|49.237|48.9444|49.8537,561|35|56|21|8|61|22|91|96|49|49|663|13|30|2|38|15|37|35|118|68|22|355|82|50|159|108|138|7|11|19|12|53|282|14|367|115|87|16|35|48|9|158|72|227|120|155|190|11|10|16|7|66|157|12|549|66|99|16|12|5|9|64|85|46|115|618|39|7|12|20|13|32|46|24|120|14|703|7|21|114|76|9|37|6|45|11|44|570|88|40|190|5|28|5|55|29|90|28|530
6,relu,relu,0,interleave,512,0.001,10,ce,ok,2014.41,54.1822,50.46,49.5726,51.09,50.3101,50.72,9,1.89638|1.6769|1.57933|1.51887|1.4687|1.42407|1.38686|1.34986|1.31631|1.28504,31.3822|39.8533|43.5822|45.6956|47.5622|49.1689|50.6444|51.7933|53.14|54.1822,34.88|43.16|43.64|45.76|47.14|48.08|48.14|48.86|50.72|50.46,33.5866|41.5781|42.3692|44.7392|46.0024|47.0351|47.6626|48.005|50.0646|49.5726,358|31|213|14|44|23|25|41|213|38|24|607|10|23|16|16|22|30|118|134|19|13|457|37|135|102|129|67|30|11|8|15|113|193|71|279|189|64|26|42|27|10|157|21|456|53|140|91|34|11|7|5|118|85|84|484|108|63|27|19|0|14|90|26|102|52|672|14|15|15|15|16|60|37|91|79|39|595|27|41|39|44|31|19|33|27|11|16|739|41|20|163|16|34|15|17|29|49|109|548
4,relu,relu,0,interleave,512,0.001,10,ce,ok,2014.79,54.4556,49.16,48.0756,50.2,49.2322,50.48,9,1.89429|1.67849|1.58221|1.517|1.46351|1.42039|1.3823|1.34841|1.31684|1.28558,31.2578|39.8711|43.5933|45.8667|47.7089|49.36|50.5689|51.6578|52.9267|54.4556,36.6|41.28|44.46|45.46|48.34|46.02|47.2|47.66|50.48|49.16,36.9255|39.3658|42.8656|44.2297|47.8501|45.4542|46.7722|46.5049|49.7354|48.0756,590|38|53|9|40|3|36|10|104|117|20|586|9|19|11|2|30|14|46|263|88|23|379|80|140|21|180|36|13|40|39|26|93|343|74|54|212|27|29|103|54|11|124|44|446|14|207|39|17|44|28|15|119|298|76|177|157|48|18|64|7|15|49|54|85|9|732|6|6|37|38|19|68|71|114|25|79|439|11|136|129|49|15|27|27|1|26|4|590|132|27|111|9|25|12|2|32|11|33|738
8,relu,relu,0,interleave,512,0.001,10,ce,ok,2117.26,54.2733,50.62,49.2401,50.98,49.7986,50.62,10,1.89239|1.67711|1.58337|1.51813|1.47007|1.42644|1.38915|1.35326|1.32068|1.28789,31.4644|40.0489|43.6244|45.9556|47.4267|49.3711|50.4978|51.74|52.7044|54.2733,37.18|41.74|41.8|44.74|45.7|46.86|48.98|48.18|50.24|50.62,36.7199|40.3682|40.8846|43.0184|43.7676|45.8251|48.1679|47.2151|50.3636|49.2401,652|24|50|7|32|3|30|25|125|52|52|586|16|15|8|4|23|33|96|167|112|18|373|50|162|24|149|69|25|18|50|22|132|301|56|48|241|69|24|57|81|11|131|37|461|8|165|76|20|10|53|14|134|248|76|182|148|100|22|23|16|10|55|40|116|6|700|24|17|16|66|12|72|55|70|19|56|582|12|56|143|46|14|24|15|6|20|17|666|49|52|140|11|26|15|7|38|39|77|595
9,relu,relu,0,interleave,512,0.001,10,ce,ok,2117.17,54.4489,51.3,50.4964,50.9,50.0174,51.3,10,1.89017|1.67715|1.58007|1.51346|1.46119|1.42216|1.37948|1.34385|1.31214|1.27969,31.6267|39.9889|43.46|45.9667|47.9822|49.3178|51.1978|52.04|53.3289|54.4489,37.54|43.18|41.3|47.26|47.38|48.08|48.18|49.26|49.18|51.3,35.2279|41.9637|39.0058|45.5387|46.4748|47.237|47.5248|48.7667|48.7313|50.4964,521|54|47|16|22|29|66|30|170|45|20|730|14|14|4|20|29|22|59|88|71|28|330|61|93|89|232|63|23|10|19|32|74|251|26|211|281|50|33|23|38|28|111|31|332|59|274|88|32|7|12|17|81|158|34|412|183|60|29|14|3|19|40|41|51|27|791|13|7|8|16|31|57|42|68|76|94|566|18|32|75|90|10|24|13|12|40|21|671|44|22|250|12|26|7|21|53|46|77|486
7,relu,relu,0,interleave,512,0.001,10,ce,ok,2118.3,54.26,51.44,50.7231,52.01,51.374,51.44,10,1.88896|1.67398|1.5813|1.51619|1.46416|1.42282|1.38153|1.34396|1.31205|1.28008,31.4489|40.0156|43.48|45.8889|47.7889|49.5111|50.6444|51.8067|53.3111|54.26,37.02|42.4|44.72|44.58|43.64|46.32|47.68|48.72|49.2|51.44,35.0701|41.3592|44.1141|44.0495|42.6188|45.7351|46.9184|47.7551|48.5266|50.7231,606|43|61|19|13|18|35|15|115|75|29|629|12|19|2|17|24|14|40|214|99|23|407|55|59|85|175|52|19|26|41|22|94|293|15|205|204|35|23|68|69|17|181|52|291|56|213|64|25|32|30|8|115|177|28|421|119|45|19|38|13|12|81|51|36|38|720|11|9|29|39|14|75|59|45|71|67|526|12|92|107|79|11|27|11|25|20|9|619|92|25|147|9|24|2|22|32|18|32|689
11,relu,relu,0,interleave,512,0.001,10,ce,ok,2117.22,53.8978,49.12,47.9938,49.81,48.9789,49.48,8,1.89256|1.67789|1.58262|1.51635|1.46642|1.42323|1.38393|1.34939|1.31656|1.28565,31.3467|40.0511|43.5022|45.7644|47.7067|49.3778|50.5311|51.8|53.1089|53.8978,36.86|41.36|44.5|45.5|45.86|48.68|46.34|49.48|49.46|49.12,35.8541|39.9855|44.126|44.7376|44.5638|47.4701|44.5455|49.3071|47.8576|47.9938,403|21|41|26|84|25|31|64|284|21|21|626|7|34|25|24|13|42|148|60|41|12|217|96|284|85|100|103|55|7|9|16|39|328|125|200|146|81|37|19|20|6|46|47|588|30|97|115|45|6|6|7|29|183|127|405|91|110|37|5|1|11|24|66|215|38|595|29|18|3|22|9|17|54|117|73|20|644|27|17|37|43|11|15|40|20|19|21|768|26|32|207|6|45|25|28|43|64|143|407
