seed,act1,act2,ratio,layout,hidden,lr,epochs,loss,status,seconds,train_acc,val_acc,val_f1,test_acc,test_f1,best_val_acc,best_val_epoch,epoch_loss,epoch_train_acc,epoch_val_acc,epoch_val_f1,test_confusion
3,relu,relu,0,interleave,128,0.001,10,ce,ok,366.648,51.5133,46.28,44.3461,46.44,45.0005,47.88,8,1.90971|1.70538|1.61785|1.55228|1.5069|1.4686|1.43807|1.40908|1.38483|1.36089,30.7267|38.76|42.0178|44.4956|46.36|47.5622|48.46|49.5356|50.5844|51.5133,35.04|39.94|42|44.6|45.26|45.86|46.5|47.88|47.2|46.28,32.7801|37.7682|42.2515|43.7497|42.9367|45.1819|45.8016|47.4477|47.3046|44.3461,509|30|13|13|24|20|6|89|252|44|31|572|1|14|6|13|10|59|141|153|89|29|143|87|142|102|66|249|70|23|34|20|18|276|39|220|57|189|76|71|50|13|42|48|346|53|68|304|63|13|23|23|21|153|40|356|31|254|70|29|17|17|25|123|124|115|388|131|29|31|28|16|12|41|37|35|8|729|42|52|68|46|1|12|9|16|3|30|772|43|30|142|5|21|4|16|12|71|146|553
2,relu,relu,0,interleave,128,0.001,10,ce,ok,367.036,51.8178,47.16,46.8074,47.08,46.9673,48.12,8,1.90273|1.69594|1.60725|1.54445|1.49873|1.46267|1.42908|1.40585|1.37712|1.35449,31|39.0756|42.52|44.7467|46.3689|47.9|48.8889|49.94|50.8089|51.8178,38.88|41.24|42.08|44.52|45.36|44.36|46.7|48.12|47.18|47.16,37.3206|39.0468|40.7112|42.5979|44.9541|43.2504|46.8722|47.1583|46.7937|46.8074,458|7|147|14|81|16|35|56|160|26|65|432|36|31|39|18|29|73|110|167|50|8|381|60|223|60|109|81|22|6|13|2|126|267|137|136|175|92|30|22|29|2|147|32|565|25|96|75|23|6|6|4|98|177|134|295|123|114|36|13|1|1|102|40|203|29|568|35|14|7|22|6|76|48|165|41|39|573|13|17|79|22|52|15|54|9|14|34|676|45|54|96|27|36|27|23|39|119|86|493
4,relu,relu,0,interleave,128,0.001,10,ce,ok,367.679,51.5378,48.66,47.4896,49.03,47.8923,48.66,10,1.91718|1.70716|1.61784|1.5568|1.50745|1.4712|1.43852|1.41281|1.38588|1.36262,30.3756|38.6867|42.1156|44.1689|46.2089|47.3533|48.5644|49.4844|50.4444|51.5378,35.9|38.9|39.88|44.24|45.24|45.26|46.88|47.58|47.2|48.66,34.3406|37.6181|38.2747|42.9919|44.4396|44.2024|45.8898|46.3754|46.1271|47.4896,529|96|29|21|49|20|20|52|137|47|12|769|3|24|9|22|10|21|35|95|78|46|156|104|244|115|117|91|29|20|25|50|28|291|87|252|124|69|30|44|38|33|36|46|528|61|107|104|31|16|16|25|35|190|96|424|74|85|38|17|5|38|28|76|179|55|550|34|18|17|34|53|20|49|97|71|28|587|10|51|88|173|5|18|26|21|3|22|593|51|26|321|7|28|8|27|21|48|38|476
5,relu,relu,0,interleave,128,0.001,10,ce,ok,367.833,51.4622,48.06,47.001,49.18,48.3156,48.94,9,1.91146|1.70165|1.61589|1.554|1.5074|1.4691|1.43499|1.40645|1.37883|1.35288,30.4956|38.6711|42.4378|44.5822|46.1711|47.3244|49.0356|49.76|50.7022|51.4622,35.38|41.28|42.3|44.24|45.38|47.28|47.14|46.54|48.94|48.06,34.6263|39.6867|42.1146|42.5256|43.4703|46.5989|45.793|46.4257|47.5754|47.001,647|28|59|10|18|19|11|20|123|65|76|529|11|11|12|16|6|22|90|227|107|25|394|28|158|115|50|70|26|27|80|17|96|176|65|317|63|66|39|81|103|12|158|17|417|79|53|112|29|20|57|13|92|76|64|461|48|108|40|41|34|24|85|36|197|113|404|45|21|41|69|12|61|24|57|68|9|594|27|79|142|43|17|9|15|17|1|23|648|85|68|106|9|17|5|23|13|43|68|648
1,relu,relu,0,interleave,128,0.001,10,ce,ok,368.239,51.4556,48.7,47.4412,48.99,48.1293,48.7,10,1.90735|1.69408|1.60327|1.54332|1.49924|1.46321|1.43281|1.40643|1.37992|1.36013,30.6089|39.3356|42.9422|44.7244|46.4356|47.7933|48.9644|49.7044|51.0289|51.4556,35.78|39.42|41.96|45.46|44.1|46.14|45.78|47.7|47.28|48.7,35.2056|38.5351|40.3323|44.8548|41.5216|45.0439|45.0439|46.5869|45.7665|47.4412,401|46|99|35|26|9|14|33|282|55|15|671|18|34|5|8|11|25|100|113|41|31|385|137|124|29|116|65|53|19|15|27|95|489|37|63|98|58|50|68|30|17|154|113|377|18|124|101|51|15|9|17|112|383|46|191|80|76|55|31|3|23|80|155|84|27|546|29|24|29|15|38|74|92|69|28|23|565|33|63|38|71|10|27|8|3|11|16|769|47|23|241|12|39|7|11|8|50|104|505
6,relu,relu,0,interleave,128,0.001,10,ce,ok,368.363,51.9644,48.3,48.3145,49.19,49.2285,48.82,9,1.9077|1.69573|1.60988|1.54961|1.5037|1.46255|1.42984|1.39974|1.3739|1.34846,30.6556|39.0689|42.4533|44.4|46.2267|47.6733|48.6356|49.9644|51.0667|51.9644,37.64|40.24|43.82|44.38|45.6|45.66|47.12|47.68|48.82|48.3,36.6898|38.9694|43.5358|42.8709|44.3266|45.2895|46.232|46.9776|47.3665|48.3145,692|19|53|28|23|27|31|14|85|28|117|636|18|37|6|17|14|16|46|93|115|17|353|145|104|78|136|31|12|9|45|15|65|447|34|160|155|25|21|33|92|7|151|103|366|51|163|44|17|6|51|8|75|293|41|338|110|43|23|18|32|16|43|122|102|43|604|8|13|17|86|8|66|108|86|97|58|456|9|26|246|61|12|38|13|15|8|9|554|44|118|205|10|51|11|31|32|33|36|473
9,relu,relu,0,interleave,128,0.001,10,ce,ok,366.079,51.6756,48.92,47.6705,49.87,48.7903,48.92,10,1.90645|1.69861|1.60332|1.5418|1.49914|1.4605|1.43012|1.40134|1.37652|1.35087,30.5511|38.7822|42.8756|44.8111|46.6378|47.9067|48.9111|49.9867|50.8511|51.6756,34.94|39.82|43.78|43.28|45.52|46.44|47.64|47.7|47.56|48.92,32.435|38.2429|42.9213|41.9911|44.5093|45.9356|46.7799|47.2812|46.4027|47.6705,590|40|53|10|16|11|32|18|191|39|42|676|13|11|5|16|18|9|85|125|100|31|371|47|127|66|162|40|32|24|49|44|88|214|45|191|216|35|44|74|80|18|147|24|390|42|192|51|38|18|44|18|101|136|49|360|165|49|42|36|19|26|60|29|91|38|687|12|17|21|75|34|71|44|88|62|55|467|28|76|92|67|11|3|15|22|14|12|717|47|62|216|7|17|8|15|23|28|109|515
8,relu,relu,0,interleave,128,0.001,10,ce,ok,366.837,51.6356,46.4,45.5804,47.01,46.0987,47.82,6,1.91098|1.70379|1.61242|1.54725|1.50036|1.4626|1.43148|1.40241|1.37767|1.35463,30.3511|38.9578|42.5133|44.6289|46.36|47.7378|48.8089|50.0222|50.8067|51.6356,35.84|40.76|42.78|43.48|44.82|47.82|46.62|46.36|47.32|46.4,34.6138|39.9691|41.9313|42.6206|43.2239|46.9062|45.6359|45.6493|47.2832|45.5804,491|13|53|22|54|10|38|13|257|49|47|433|10|40|22|13|38|16|190|191|64|15|260|99|249|32|194|21|53|13|30|7|70|359|77|72|289|20|37|39|45|6|66|56|497|14|226|27|57|6|28|2|75|284|87|215|220|28|44|17|6|6|41|42|119|10|741|5|18|12|42|8|61|97|187|42|97|375|38|53|44|27|9|37|20|9|26|4|771|53|38|81|13|53|20|17|55|23|141|559
7,relu,relu,0,interleave,128,0.001,10,ce,ok,367.326,52.0067,49.18,48.7633,50.72,50.29,49.18,10,1.90683|1.69724|1.60515|1.54304|1.4972|1.4583|1.43079|1.4021|1.37822|1.35171,30.8244|39.0844|42.4911|44.8267|46.6578|47.8444|48.8644|49.8444|50.6511|52.0067,36|40.2|43.1|43.92|44.28|46.22|49.02|48.48|48.96|49.18,34.1752|38.6614|41.4209|43.2618|43.4313|45.3291|48.7067|48.2284|48.964|48.7633,639|38|58|17|28|11|22|12|147|28|57|674|11|19|10|14|14|10|82|109|93|30|348|90|171|64|131|35|22|16|63|27|92|337|70|183|134|30|28|36|84|20|115|56|488|33|119|49|28|8|46|21|94|216|74|344|100|54|27|24|21|21|59|73|144|37|607|9|15|14|82|34|63|79|114|50|37|476|26|39|116|71|16|27|18|15|7|12|674|44|62|209|13|40|18|11|33|28|101|485
10,relu,relu,0,interleave,128,0.001,10,ce,ok,366.966,51.6644,48.98,48.4243,50.75,50.2296,48.98,10,1.91267|1.70127|1.6137|1.54988|1.50217|1.46441|1.43097|1.40167|1.37487|1.35312,30.2556|38.5933|42.3178|44.6422|46.4222|47.7067|48.8689|49.9178|50.9311|51.6644,35.14|40.32|43.16|44.18|45.24|46.24|46.9|46.58|45.72|48.98,32.9039|38.7019|41.1418|43.4144|44.0017|44.9367|46.4321|45.453|45.7382|48.4243,595|39|43|21|25|55|22|22|119|59|39|632|5|20|3|35|14|12|51|189|81|23|330|74|68|176|142|61|13|32|29|28|55|250|21|366|130|35|22|64|60|15|136|48|296|132|192|70|28|23|23|13|55|124|27|585|85|45|13|30|9|22|70|76|38|106|626|15|7|31|31|19|42|59|62|164|28|509|14|72|117|59|11|34|11|38|8|10|618|94|41|146|9|23|9|40|19|40|39|634
