seed,act1,act2,ratio,layout,hidden,lr,epochs,loss,status,seconds,train_acc,val_acc,val_f1,test_acc,test_f1,best_val_acc,best_val_epoch,epoch_loss,epoch_train_acc,epoch_val_acc,epoch_val_f1,test_confusion
103,relu,relu,0,interleave,12,0.001,10,ce,ok,30.0692,94.5578,94.32,94.2895,93.94,93.8529,94.32,10,0.851216|0.356443|0.307497|0.27616|0.25218|0.234301|0.219373|0.207936|0.199299|0.190677,73.5733|89.7244|91.1|92.0311|92.7|93.2111|93.5956|93.9467|94.1578|94.5578,87.74|90.1|90.92|92.52|93.02|93.32|93.24|93.72|93.88|94.32,87.6284|89.9415|90.8548|92.4404|92.9815|93.3106|93.1682|93.6806|93.8386|94.2895,939|0|4|1|1|5|2|1|8|2|0|1127|9|0|4|7|0|2|14|1|6|2|910|8|10|6|7|8|11|1|3|6|36|923|1|30|1|15|11|7|3|0|4|0|946|0|8|3|2|28|8|2|10|15|8|796|11|4|11|4|12|1|6|0|5|14|945|0|8|0|2|6|20|7|6|1|0|982|0|21|6|9|16|7|6|16|5|2|908|7|8|2|1|6|24|6|0|21|4|918
101,relu,relu,0,interleave,12,0.01,10,ce,ok,30.0649,94.0311,94.24,94.1979,93.42,93.3194,94.24,10,0.47222|0.314575|0.277855|0.256528|0.238022|0.230393|0.221691|0.220576|0.214629|0.21201,85.5511|90.8267|92.0667|92.6022|93.2644|93.3667|93.7956|93.6956|93.9422|94.0311,90.36|92.28|92.32|92.28|90.74|93.18|93.8|93.5|93.12|94.24,90.1943|92.2378|92.2752|92.2384|90.7286|93.1928|93.7554|93.5348|93.1269|94.1979,940|0|3|0|1|3|5|1|9|1|0|1129|9|3|2|0|1|2|16|2|11|5|882|6|13|6|14|7|24|1|1|2|16|932|1|26|1|14|34|6|8|2|3|1|916|1|12|2|6|43|9|1|3|15|7|788|15|6|21|4|8|1|0|0|2|5|970|0|5|0|11|0|21|5|10|3|0|973|1|21|16|5|13|9|4|14|6|3|907|5|13|1|0|11|26|5|0|23|6|905
102,relu,relu,0,interleave,12,0.01,10,ce,ok,30.0792,93.72,93,93.006,92.27,92.1947,93,10,0.495806|0.319129|0.278949|0.259711|0.248599|0.244832|0.235523|0.231022|0.226422|0.219943,84.9556|90.7533|91.9556|92.6422|92.9289|93.0333|93.2956|93.4067|93.54|93.72,90|92.08|92.16|92.36|92.56|92.3|92.48|91.84|92.22|93,89.966|92.073|92.1619|92.3505|92.515|92.2932|92.4287|91.83|92.2967|93.006,932|0|5|0|0|6|7|0|10|3|0|1112|4|6|3|5|3|1|25|5|14|1|873|20|3|3|25|5|24|1|6|3|15|965|0|15|3|5|20|1|6|0|6|0|839|0|32|9|36|66|5|2|2|17|0|800|17|0|23|3|4|1|0|0|0|11|964|0|11|0|11|3|28|25|4|2|2|951|8|11|7|2|15|20|1|11|7|0|918|1|14|0|0|17|22|10|1|19|34|873
103,relu,relu,0,interleave,12,0.003,10,ce,ok,30.1387,94.7511,93.88,93.8758,93.84,93.75,94.38,9,0.546878|0.290936|0.244204|0.221625|0.207758|0.196592|0.188213|0.181646|0.178321|0.174112,83.2067|91.6022|92.9578|93.42|93.7956|94.14|94.3267|94.5689|94.68|94.7511,89.94|92.18|92.04|94.12|93.62|94.04|93.14|93.92|94.38|93.88,89.7722|92.0957|92.0549|94.0851|93.6012|94.0059|93.068|93.9136|94.3414|93.8758,933|0|8|1|5|5|4|0|7|0|0|1125|7|3|3|6|1|2|16|1|7|2|909|1|13|6|2|9|17|3|1|0|45|907|1|33|2|21|19|4|2|1|1|0|970|1|9|3|0|7|5|3|8|8|5|800|8|4|21|7|13|0|2|0|15|7|935|0|19|0|1|2|12|0|8|2|0|1014|0|6|2|3|22|3|12|9|2|3|916|10|3|2|1|5|53|6|0|29|16|875
102,relu,relu,0,interleave,12,0.001,10,ce,ok,30.1697,94.18,93.68,93.6613,93.28,93.1785,93.68,10,0.832851|0.344146|0.299994|0.276807|0.258911|0.246875|0.233626|0.22293|0.212453|0.20402,74.9578|90.0222|91.2489|92.0711|92.56|92.9422|93.28|93.5622|94.0156|94.18,88.14|90|91.98|91.72|91.68|92.9|93.36|93.58|93.34|93.68,88.0991|89.958|91.9405|91.6808|91.627|92.8696|93.3564|93.582|93.3473|93.6613,928|0|7|0|2|6|6|0|9|5|0|1131|4|10|5|2|0|5|6|1|6|6|894|14|8|2|14|12|11|2|1|4|14|968|2|15|2|15|10|2|3|0|12|1|922|2|14|2|3|35|10|1|4|25|6|782|15|2|13|11|8|2|8|0|8|14|948|0|3|0|4|3|12|10|8|1|1|992|1|13|8|11|18|31|5|20|6|3|870|10|6|2|2|19|30|2|1|31|4|893
101,relu,relu,0,interleave,12,0.001,10,ce,ok,30.2054,94.2422,93.56,93.5131,93.39,93.2532,93.64,9,0.866231|0.378436|0.325656|0.291962|0.266003|0.246409|0.231987|0.219914|0.209557|0.202197,72.8556|88.9022|90.4867|91.54|92.2067|92.7467|93.2111|93.5756|93.9067|94.2422,88.24|90.42|91.52|91.24|91.1|92.78|92.64|92.92|93.64|93.56,88.1312|90.3551|91.4589|91.1837|91.1205|92.7187|92.5999|92.8954|93.6158|93.5131,941|0|3|1|3|1|5|0|8|1|1|1133|4|1|2|5|2|2|13|1|23|9|877|3|14|1|14|13|13|2|4|6|15|925|0|44|2|15|19|3|5|1|3|0|953|0|14|4|2|12|15|7|3|11|9|776|18|5|15|10|9|1|1|0|5|8|966|0|1|0|1|1|14|4|5|3|0|1005|0|12|15|15|11|10|10|20|8|2|883|8|8|2|1|8|41|5|0|41|4|880
101,relu,relu,0,interleave,12,0.003,10,ce,ok,30.3453,94.36,93.7,93.6749,93.43,93.3205,93.7,10,0.564577|0.301859|0.253109|0.231063|0.217067|0.208909|0.199253|0.193936|0.187416|0.184517,82.8556|91.1111|92.4889|93.0733|93.5244|93.7444|93.9933|93.9778|94.38|94.36,90.94|92.14|93.2|91.94|92.04|93.6|93.62|93.64|93.64|93.7,90.8452|92.1198|93.1587|91.8976|92.0242|93.593|93.5903|93.6129|93.6213|93.6749,927|0|3|0|5|7|11|2|7|1|0|1139|3|2|6|4|1|4|3|2|12|5|863|11|18|6|20|9|22|3|4|8|7|941|0|38|1|14|16|4|2|0|2|0|962|2|16|2|1|7|0|1|1|23|12|797|9|1|18|7|7|1|0|0|4|12|961|0|6|0|0|3|16|10|14|3|1|985|0|13|4|9|3|6|17|19|8|1|910|5|4|2|1|12|78|7|1|25|2|858
102,relu,relu,0,interleave,12,0.003,10,ce,ok,30.353,94.7044,94.1,94.0825,93.95,93.872,94.1,10,0.539796|0.298169|0.262742|0.237553|0.219545|0.209895|0.200169|0.191504|0.184069|0.177137,83.4622|91.1689|92.2444|93.0933|93.6311|93.9|94.1244|94.3667|94.6289|94.7044,90.62|91.78|92.34|92.98|92.68|92.84|94.04|94.08|93.28|94.1,90.5698|91.7569|92.3273|92.9484|92.645|92.8486|94.0292|94.0662|93.2938|94.0825,934|0|1|1|2|8|7|2|7|1|0|1117|1|6|5|7|1|6|20|1|11|5|872|17|12|3|13|18|15|3|4|5|9|950|1|26|3|13|14|8|2|0|3|0|942|2|8|11|3|23|7|0|3|14|7|811|16|1|9|1|9|1|0|0|5|8|966|0|2|0|12|4|1|11|5|1|0|1003|1|7|7|2|6|12|6|17|10|1|916|5|9|2|0|14|32|11|0|30|8|884
102,relu,relu,0,interleave,12,0.03,10,ce,ok,30.4796,46.8578,49.64,44.1566,49.33,43.7815,83.38,1,0.664012|0.634944|0.69366|0.671949|0.777364|0.779513|0.795433|0.963697|1.35803|1.45341,81.4489|82.7978|79.6733|79.5378|79.5889|80.6356|76.3556|70.38|51.7956|46.8578,83.38|80.3|81.72|76.02|78.36|80.08|76.86|68.22|53.12|49.64,84.1263|77.8656|79.6384|74.8909|76.678|80.3812|74.7235|64.6012|46.8951|44.1566,918|0|1|0|0|12|16|1|14|1|2|0|4|0|0|32|1121|1|4|0|54|0|7|1|0|4|868|2|33|0|95|0|2|630|0|214|46|8|36|2|26|0|19|0|2|2|926|0|18|1|58|0|2|2|0|744|46|1|13|3|9|0|3|0|0|19|946|0|14|0|47|0|11|0|2|3|104|869|7|2|64|0|8|1|0|56|40|0|811|2|72|0|62|3|6|21|783|17|20|6
103,relu,relu,0,interleave,12,0.03,10,ce,ok,30.4773,82.4689,80.4,78.9481,80.05,78.2425,89.36,3,0.583202|0.456643|0.445985|0.448017|0.456594|0.478114|0.526871|0.506595|0.499177|0.514731,82.98|88.0533|88.9267|88.7|88.0067|87.1333|82.3356|82.6756|84.1244|82.4689,88.38|88.2|89.36|88.44|80.78|82.66|83.08|82|85.82|80.4,88.3401|88.0831|89.4053|88.464|78.95|80.3124|81.225|80.6089|85.2614|78.9481,934|0|5|1|5|0|2|1|15|0|0|1086|5|4|1|5|1|40|21|1|10|5|821|2|11|0|16|16|86|2|5|1|54|882|0|17|0|14|54|6|6|0|3|1|859|0|8|18|46|53|9|2|9|19|2|670|17|7|125|9|9|0|3|0|16|8|939|1|14|1|2|0|12|187|5|2|0|803|16|18|8|8|12|2|1|7|4|21|914|5|5|0|5|22|32|11|0|773|45|97
