seed,act1,act2,ratio,layout,hidden,lr,epochs,loss,status,seconds,train_acc,val_acc,val_f1,test_acc,test_f1,best_val_acc,best_val_epoch,epoch_loss,epoch_train_acc,epoch_val_acc,epoch_val_f1,test_confusion
101,relu,relu,0,interleave,64,0.001,10,ce,ok,87.0852,97.6978,96.66,96.6451,96.58,96.537,96.66,10,0.702731|0.2831|0.220946|0.178251|0.148242|0.126703|0.110432|0.0976021|0.0872628|0.0792648,81.2178|91.9756|93.5467|94.8556|95.6489|96.3356|96.8444|97.1533|97.4444|97.6978,90.76|92.7|94.2|94.84|95.28|95.64|95.96|96.26|96.42|96.66,90.6868|92.6685|94.1943|94.8257|95.2711|95.6316|95.9505|96.2422|96.4109|96.6451,946|0|0|1|1|1|5|0|8|1|0|1137|4|2|5|1|1|3|10|1|4|3|932|4|9|1|4|6|5|1|1|3|8|976|1|24|0|8|10|2|1|0|3|0|961|2|8|0|8|11|1|2|4|11|0|828|8|0|10|5|2|1|0|0|0|4|981|0|3|0|0|0|8|3|8|3|1|1018|1|3|3|4|4|3|2|5|6|0|954|1|3|2|2|9|19|3|0|14|13|925
102,relu,relu,0,interleave,64,0.001,10,ce,ok,88.287,97.4444,96.58,96.5738,96.69,96.6485,96.58,10,0.73633|0.288984|0.226054|0.186564|0.157772|0.135665|0.118336|0.105445|0.0941894|0.0844805,79.2156|91.5822|93.5222|94.5911|95.4711|96.0222|96.5267|96.9022|97.2378|97.4444,90.12|92.62|93.86|94.58|95.52|95.84|96.06|96.42|96.16|96.58,90.0593|92.5864|93.8307|94.5794|95.5129|95.8301|96.053|96.4145|96.146|96.5738,949|0|0|1|1|0|5|0|6|1|0|1143|2|4|5|0|0|2|7|1|2|4|923|14|7|1|7|4|7|0|1|1|3|997|1|14|0|8|6|2|0|0|6|0|959|2|9|1|3|14|2|1|3|21|1|820|9|0|6|6|4|1|0|0|2|8|975|0|1|0|0|2|4|4|5|0|0|1017|1|12|1|6|2|10|3|5|6|1|945|3|3|1|0|9|19|4|1|10|2|941
102,relu,relu,0,interleave,64,0.003,10,ce,ok,87.3081,98.6867,96.8,96.7917,97.21,97.1685,97.4,8,0.446963|0.185782|0.132666|0.105036|0.0861596|0.0726017|0.063015|0.0536044|0.0462467|0.0404745,86.84|94.4533|96.0556|96.7644|97.3333|97.7222|97.9933|98.3511|98.5511|98.6867,93.28|95|95.84|95.86|96.82|96.38|96.36|97.4|97.1|96.8,93.2396|94.9843|95.8225|95.8761|96.814|96.3725|96.3533|97.3938|97.0987|96.7917,949|0|1|0|1|0|3|0|7|2|0|1150|3|1|2|0|1|2|4|1|0|2|935|5|5|0|5|7|8|2|0|2|3|1000|1|8|0|6|12|1|0|0|5|0|964|3|7|3|3|9|1|2|3|18|1|816|8|0|15|5|4|1|0|0|3|1|975|0|7|0|0|1|5|6|1|1|1|1019|1|10|1|1|3|2|3|0|2|1|968|1|2|0|0|5|15|3|0|10|10|945
101,relu,relu,0,interleave,64,0.003,10,ce,ok,88.4115,98.7689,97.26,97.2589,97.22,97.1922,97.26,10,0.430405|0.175289|0.126867|0.0988578|0.0834412|0.0708542|0.0607294|0.0511565|0.0447087|0.0392884,87.6378|94.7956|96.0867|97.0333|97.3533|97.8444|98.0644|98.3778|98.64|98.7689,93.32|95.42|96.16|95.98|96.54|96.58|96.64|96.64|96.78|97.26,93.2873|95.4107|96.1575|95.9752|96.5342|96.5839|96.6283|96.6353|96.7894|97.2589,951|0|0|1|2|2|1|0|5|1|0|1145|1|1|3|0|1|5|6|2|1|2|938|1|6|1|4|7|7|2|1|4|11|972|1|19|0|12|8|5|0|0|5|1|972|0|5|2|2|7|0|2|1|9|1|841|6|0|6|3|5|1|0|0|5|3|975|0|2|0|0|0|12|4|2|0|0|1022|1|4|4|3|10|3|2|7|3|1|948|1|3|0|0|2|12|1|0|12|2|958
103,relu,relu,0,interleave,64,0.001,10,ce,ok,88.6509,97.6733,96.72,96.7093,96.6,96.5654,96.72,10,0.696144|0.284458|0.220166|0.178612|0.15019|0.129935|0.113159|0.100201|0.0902068|0.0810246,80.9489|91.9156|93.6578|94.8311|95.6289|96.2422|96.7267|97.0667|97.3778|97.6733,90.24|92.56|94.4|95.2|95.26|95.56|95.84|95.86|96.54|96.72,90.1816|92.5478|94.4041|95.1769|95.242|95.5448|95.8324|95.8396|96.5238|96.7093,941|0|1|1|1|2|10|0|4|3|0|1153|4|0|2|0|1|3|0|1|2|3|932|4|7|2|9|4|6|0|0|5|7|990|1|12|0|12|4|2|1|2|6|0|954|0|9|1|3|18|0|2|6|10|1|831|9|0|3|7|2|1|0|0|1|5|981|0|1|0|1|4|4|1|4|0|0|1020|0|11|3|10|5|10|4|4|11|0|920|15|4|2|0|9|17|1|1|18|0|938
103,relu,relu,0,interleave,64,0.003,10,ce,ok,88.2631,98.9978,97.26,97.2654,97.53,97.4995,97.36,9,0.428306|0.169906|0.121471|0.0947812|0.0763945|0.0656326|0.0543244|0.0468293|0.0407792|0.0332443,87.6733|95.0333|96.36|97.1222|97.5933|97.9622|98.3|98.5533|98.6689|98.9978,93.72|95.14|96.38|96.52|96.44|96.8|96.82|96.14|97.36|97.26,93.7005|95.1613|96.3885|96.5187|96.4441|96.8035|96.8304|96.0879|97.3644|97.2654,946|1|1|0|2|1|8|0|2|2|0|1157|1|0|2|0|1|3|0|0|2|3|932|4|5|3|5|7|8|0|0|2|5|996|0|15|0|11|2|2|0|0|1|0|965|0|9|2|1|16|0|2|1|5|1|848|5|1|2|4|4|0|0|1|1|1|982|0|2|0|0|0|3|3|3|0|0|1027|0|9|2|8|5|1|1|9|6|4|939|7|4|0|0|6|5|3|0|10|1|961
101,relu,relu,0,interleave,64,0.01,10,ce,ok,87.9481,98.4378,96.98,96.9738,97.08,97.0443,97.06,5,0.301548|0.137034|0.105718|0.0851622|0.0751958|0.0641092|0.0543462|0.0523992|0.0489768|0.0451209,90.7556|95.7689|96.7|97.3733|97.6133|98.0489|98.2978|98.3644|98.4422|98.4378,95.56|96.02|97|94.12|97.06|96.98|96.98|96.76|96.62|96.98,95.5615|96.0261|96.9911|93.9698|97.0524|96.9799|96.9743|96.7634|96.6311|96.9738,940|0|4|3|2|0|3|0|5|6|0|1150|2|2|0|1|0|2|6|1|0|8|937|8|2|2|2|3|5|2|0|4|6|994|0|19|0|3|5|2|0|0|5|0|945|2|7|0|4|31|1|1|1|5|0|844|8|0|4|5|5|1|1|0|0|5|976|0|3|0|0|1|5|5|3|0|0|1023|2|6|1|6|4|10|0|11|3|1|945|1|2|0|1|7|4|6|0|8|8|954
102,relu,relu,0,interleave,64,0.01,10,ce,ok,87.4494,98.5356,97.16,97.1572,97.05,97.0079,97.16,10,0.310974|0.14423|0.10908|0.0914269|0.0764014|0.0667062|0.0594555|0.051251|0.0453937|0.0450168,90.4422|95.6644|96.7311|97.1444|97.6622|97.8467|98.1311|98.3689|98.5133|98.5356,95.12|95.86|96.54|96.66|96.88|96.64|96.92|96.7|96.74|97.16,95.0975|95.8648|96.5423|96.6638|96.8801|96.6348|96.9193|96.6818|96.7597|97.1572,949|0|0|0|1|0|7|1|3|2|0|1160|1|0|1|1|0|1|0|0|4|7|924|5|5|1|5|4|10|4|1|5|6|991|1|11|0|4|12|2|0|0|3|0|971|0|4|1|1|14|3|2|3|8|2|819|18|0|8|6|2|2|1|1|1|2|980|0|2|0|1|5|2|7|6|0|0|1007|2|15|3|8|0|1|4|5|4|2|951|4|1|0|0|2|15|1|0|9|9|953
103,relu,relu,0,interleave,64,0.01,10,ce,ok,88.626,98.7156,97.1,97.107,96.97,96.9368,97.18,9,0.302707|0.137057|0.104972|0.0868509|0.0713017|0.0646479|0.0563768|0.0470237|0.0435577|0.0418069,90.64|95.8156|96.7578|97.2956|97.7978|97.9222|98.1778|98.5067|98.5733|98.7156,95.56|94.88|96.12|96.36|96.88|96.18|96.32|96.78|97.18|97.1,95.5601|94.878|96.1137|96.3574|96.8857|96.1879|96.3146|96.7605|97.156|97.107,944|0|2|0|1|1|5|0|5|5|0|1154|0|1|1|0|0|5|3|0|3|2|937|5|4|0|1|8|9|0|0|2|13|984|0|9|0|17|6|2|1|4|4|0|962|2|7|2|1|11|0|0|2|12|2|828|7|0|6|12|1|0|0|1|1|3|983|0|2|0|0|2|8|1|5|1|0|1007|1|20|4|6|7|1|0|5|4|3|942|10|2|2|0|3|9|5|0|10|3|956
102,relu,relu,0,interleave,64,0.03,10,ce,ok,87.5658,96.0333,95.08,95.0945,95.26,95.1931,95.72,7,0.353681|0.234276|0.2113|0.198716|0.185519|0.184938|0.167811|0.187249|0.172946|0.173172,89.6867|93.78|94.5489|94.9511|95.2978|95.5378|95.9311|95.6778|95.9111|96.0333,93.48|93.76|93.98|92.76|95.2|93.86|95.72|94.74|94.3|95.08,93.4711|93.7438|93.9846|92.8416|95.1811|93.8633|95.7285|94.789|94.3744|95.0945,930|1|3|3|1|4|8|0|11|2|0|1149|3|2|2|1|0|2|5|0|0|3|878|22|7|1|9|14|21|14|0|1|8|982|0|14|2|6|5|15|0|1|2|1|953|0|13|3|5|16|3|1|3|4|1|835|8|3|3|8|2|2|1|0|0|11|972|0|3|0|0|0|4|4|5|1|0|1019|1|11|3|4|2|10|1|9|1|1|946|5|3|0|2|7|28|9|0|75|4|862
