seed,act1,act2,ratio,layout,hidden,lr,epochs,loss,status,seconds,train_acc,val_acc,val_f1,test_acc,test_f1,best_val_acc,best_val_epoch,epoch_loss,epoch_train_acc,epoch_val_acc,epoch_val_f1,test_confusion
102,relu,relu,0,interleave,12,0.003,10,mse,ok,16.1364,94.0689,92.46,92.3522,93.12,93.0505,92.9,9,0.0484334|0.0191075|0.0152391|0.0135659|0.0125774|0.0119076|0.0112953|0.0108871|0.0105481|0.0102671,65.68|89.1089|91.3733|92.1956|92.8778|93.2111|93.6244|93.8267|93.9067|94.0689,86.68|90.36|91.72|92.04|92.62|92.5|92.36|92.7|92.9|92.46,86.4657|90.1831|91.5918|91.8976|92.5106|92.3667|92.234|92.6028|92.8005|92.3522,966|2|1|3|6|6|4|2|9|5|1|1070|10|5|0|2|0|4|5|2|10|14|871|8|15|1|12|7|16|1|4|8|20|921|3|17|2|23|24|7|1|2|3|0|914|0|6|2|3|52|19|1|6|23|14|812|20|2|9|12|8|2|4|0|22|7|939|0|8|0|3|0|12|1|8|3|0|988|0|20|5|19|3|16|5|8|11|2|917|25|10|1|0|4|11|9|1|20|6|914
101,relu,relu,0,interleave,12,0.003,10,mse,ok,16.1448,93.4311,92.5,92.4038,92.94,92.8474,92.74,9,0.0528786|0.0198021|0.0161253|0.0146037|0.0135805|0.0127966|0.0122218|0.0117659|0.0113216|0.0110329,61.1756|88.7067|90.42|91.36|91.8733|92.3111|92.6444|93.0267|93.2822|93.4311,86.04|88.9|90.3|91.2|91.04|91.94|91.88|92.34|92.74|92.5,85.7064|88.7727|90.139|91.0489|90.8947|91.8348|91.7817|92.2079|92.6385|92.4038,968|0|4|2|2|7|5|2|14|0|2|1064|12|6|1|3|0|1|10|0|21|5|856|10|8|1|19|11|21|3|5|8|23|931|1|27|0|7|20|7|0|4|2|1|912|3|9|3|9|40|15|5|8|42|10|797|18|3|17|3|7|1|4|0|6|11|957|0|4|0|2|4|9|7|9|2|0|990|1|11|4|17|5|15|4|15|13|0|930|8|11|4|0|9|13|10|0|26|14|889
101,relu,relu,0,interleave,12,0.01,10,mse,ok,16.2193,94.3,93.02,92.9391,93.11,93.0441,93.42,9,0.0299825|0.0155052|0.0135562|0.0125219|0.0115305|0.0109759|0.0106156|0.0101744|0.00994459|0.00965692,79.2933|90.5|91.86|92.46|93.1111|93.4533|93.7267|93.9867|94.1733|94.3,89.64|91.32|91.26|92.12|92.28|93.16|92.96|92.92|93.42|93.02,89.4472|91.2087|91.1578|91.9618|92.1987|93.0806|92.8906|92.8266|93.325|92.9391,969|0|0|3|9|6|5|2|8|2|1|1068|8|12|2|2|0|0|6|0|11|10|830|32|23|2|11|7|25|4|2|7|7|969|0|6|3|10|15|10|3|5|0|0|929|0|6|1|2|37|12|4|2|45|7|804|10|6|16|12|6|5|0|1|24|13|933|0|6|2|0|1|5|7|8|3|0|999|0|12|7|17|1|30|14|8|6|5|913|10|8|2|0|12|18|5|0|26|8|897
103,relu,relu,0,interleave,12,0.003,10,mse,ok,16.2261,94.0444,92.88,92.7578,93.36,93.2908,93.14,9,0.0509105|0.0195523|0.0154166|0.0135557|0.0124217|0.011633|0.0111059|0.0107073|0.0103603|0.0100586,62.7622|88.6067|90.8644|92.0022|92.68|93.1467|93.4133|93.7311|93.8844|94.0444,85.18|89.42|91.3|92.08|92.44|92.24|92.9|92.74|93.14|92.88,84.6751|89.2304|91.1189|91.9442|92.2874|92.1082|92.7957|92.6096|93.0212|92.7578,958|0|4|3|3|11|7|2|14|2|0|1065|15|7|2|1|1|1|6|1|4|6|876|12|5|6|16|10|18|2|1|2|19|949|3|19|4|11|18|3|2|4|3|0|927|1|13|3|6|24|3|0|5|24|14|823|17|3|27|2|5|1|2|0|14|15|949|0|4|0|0|5|15|11|12|3|0|983|2|4|3|8|4|22|4|21|9|2|933|5|10|5|0|7|36|10|1|21|13|873
102,relu,relu,0,interleave,12,0.03,10,mse,ok,9.21914,93.6,91.86,91.7605,92.1,92.0376,92.54,7,0.0239351|0.0152899|0.0142687|0.0134155|0.0124387|0.012353|0.0120534|0.0116264|0.0115108|0.0110838,84.6067|90.8867|91.7711|92.2333|92.8|92.7667|92.9378|93.1956|93.1889|93.6,89.18|91.22|91.56|91.68|90.68|92.38|92.54|92.34|92.34|91.86,89.1026|91.1211|91.4921|91.5712|90.47|92.2822|92.4284|92.2541|92.267|91.7605,936|7|0|4|7|24|4|6|12|4|1|1061|12|4|3|9|0|2|5|2|7|7|865|13|23|8|6|8|9|9|1|3|25|922|4|27|0|16|19|12|0|2|1|0|935|1|3|4|3|34|3|2|1|30|22|823|11|10|8|8|3|1|2|0|54|17|908|0|5|0|0|2|3|5|4|3|0|997|0|21|1|13|10|34|12|28|6|4|886|17|3|2|0|10|26|12|0|36|10|877
101,relu,relu,0,interleave,12,0.03,10,mse,ok,9.27216,92.3822,91.58,91.554,91.31,91.2795,92.44,4,0.0237964|0.015159|0.0140276|0.0131707|0.012791|0.0127163|0.0132145|0.013175|0.013497|0.0139314,84.3622|90.9511|91.8111|92.4644|92.7267|92.7978|92.6711|92.6667|92.6467|92.3822,90.68|90.48|91.44|92.44|92.12|92.22|90.54|92.06|91.62|91.58,90.5804|90.3156|91.3179|92.3316|91.9879|92.1533|90.3935|92.0053|91.4852|91.554,956|1|5|2|5|5|14|0|15|1|0|1071|13|5|0|2|0|1|7|0|5|15|862|18|6|3|6|3|29|8|0|9|14|942|1|19|5|3|31|5|0|8|8|2|832|1|7|2|8|115|5|4|7|34|1|836|17|2|8|4|5|2|7|0|8|8|948|0|10|2|11|7|18|30|17|6|0|882|17|47|0|32|8|17|8|16|5|0|919|6|11|19|1|10|6|17|2|6|21|883
102,relu,relu,0,interleave,12,0.01,10,mse,ok,9.33131,94.8044,91.5,91.2791,92.17,92.0386,93.68,9,0.0292954|0.0142524|0.0124559|0.0113986|0.0105732|0.0101328|0.00978251|0.00936741|0.00895935|0.00874616,80.3556|91.5578|92.6778|93.1733|93.6933|93.9933|94.1222|94.3733|94.62|94.8044,90.34|92.42|93|91.96|92.52|93.66|93.24|92.96|93.68|91.5,90.2213|92.32|92.8993|91.8186|92.4469|93.5813|93.1653|92.8643|93.5987|91.2791,976|0|4|7|3|1|5|1|6|1|0|1072|13|4|2|4|1|2|1|0|8|6|874|17|20|0|14|5|9|2|4|3|12|977|4|11|2|7|6|3|2|2|2|0|961|1|6|3|2|4|7|4|1|27|10|844|17|3|4|1|7|1|1|1|18|6|954|0|2|0|0|1|12|17|19|3|0|979|0|4|11|15|5|52|13|27|14|3|865|6|10|6|0|14|169|11|0|48|3|715
103,relu,relu,0,interleave,12,0.01,10,mse,ok,9.34712,93.2889,92.12,92.0119,92.25,92.1959,92.6,9,0.0297202|0.0161106|0.0146207|0.0136765|0.0129824|0.012667|0.0124287|0.0119552|0.0116795|0.0112368,79.8778|90.2289|91.18|91.7644|92.18|92.4356|92.5422|92.8467|93.0644|93.2889,89.82|90.28|91.22|91.12|92.18|92.06|92.38|91.8|92.6|92.12,89.5914|90.1048|91.0243|90.9801|92.0649|91.8923|92.2398|91.6363|92.4912|92.0119,956|0|4|5|2|0|19|1|17|0|1|1045|15|2|3|2|3|1|26|1|7|5|873|5|3|1|26|6|26|3|3|5|38|911|1|17|4|5|38|7|1|5|1|2|917|1|16|3|18|19|12|1|5|19|14|767|27|0|70|3|4|1|2|0|11|4|959|0|9|0|2|4|23|4|11|4|1|979|2|5|2|5|6|11|2|7|12|0|960|6|9|2|0|6|44|8|0|25|24|858
103,relu,relu,0,interleave,12,0.03,10,mse,ok,10.2145,45.7533,44.44,41.9221,45.04,41.8912,88.46,2,0.0269062|0.0209822|0.0225463|0.0312789|0.0427359|0.050792|0.0599349|0.068456|0.0727227|0.0719398,82.7111|88.1289|88.0956|85.1022|79.12|74.04|66.3289|56.1489|47.2533|45.7533,88.18|88.46|86.7|85.18|77.5|60.64|62.14|47.78|51.64|44.44,87.9094|88.309|86.4354|84.8732|73.5491|56.5567|58.1992|46.3751|47.3937|41.9221,994|0|0|0|4|0|5|1|0|0|1089|0|4|0|1|0|1|2|2|0|333|4|558|0|8|0|22|15|15|0|986|2|20|0|0|0|4|12|5|0|125|9|4|0|825|0|12|3|4|1|897|0|0|0|9|0|8|3|0|1|128|0|2|0|8|0|851|0|0|1|95|1|4|0|9|0|2|923|1|0|647|0|1|0|1|0|13|15|332|2|859|7|2|0|22|0|0|61|4|21
103,tanh,tanh,0,interleave,12,0.003,10,mse,ok,10.8829,92.92,91.6,91.4788,91.99,91.8908,91.78,8,0.0683697|0.0309067|0.0205216|0.0160572|0.0143111|0.0133657|0.0126753|0.0121756|0.0116948|0.0114322,50.3756|81.2467|88.3378|90.5533|91.4467|91.9378|92.2378|92.5711|92.8578|92.92,73.36|85.42|89.26|90.4|91.32|91.02|91.5|91.78|91.72|91.6,65.8272|84.4482|88.9703|90.2043|91.1663|90.8706|91.3509|91.6347|91.577|91.4788,978|0|2|2|3|1|5|2|11|0|0|1059|12|4|1|8|0|0|14|1|12|9|857|11|12|4|23|4|21|2|2|5|21|899|0|64|2|10|17|9|0|2|2|0|881|1|29|2|11|55|12|9|5|23|7|817|16|3|18|8|18|1|6|0|12|5|941|0|7|0|0|4|7|2|11|5|0|988|5|13|6|15|8|15|2|44|16|2|890|13|11|0|0|3|13|27|1|19|13|889
