seed,act1,act2,ratio,layout,hidden,lr,epochs,loss,status,seconds,train_acc,val_acc,val_f1,test_acc,test_f1,best_val_acc,best_val_epoch,epoch_loss,epoch_train_acc,epoch_val_acc,epoch_val_f1,test_confusion
101,relu,relu,0,interleave,128,0.01,10,mse,ok,87.5853,99.1378,97.32,97.309,97.52,97.482,97.74,8,0.0207721|0.0075571|0.00535952|0.00424411|0.00346274|0.00293965|0.00245343|0.00207163|0.00186503|0.00163013,86.44|95.4822|96.8511|97.5778|98.0622|98.3822|98.6556|98.8667|99.0222|99.1378,94.14|95.72|96.66|97.06|97.26|97.42|97.4|97.74|97.62|97.32,94.1316|95.7269|96.6497|97.0646|97.2527|97.4183|97.39|97.7338|97.6218|97.309,951|0|1|0|1|0|5|0|3|2|0|1157|1|1|2|1|0|1|1|0|1|2|957|2|1|0|0|3|1|2|0|1|8|999|0|14|0|8|0|3|0|0|6|0|967|0|5|1|2|13|0|0|3|4|1|850|4|1|2|4|5|1|0|1|1|7|975|0|1|0|1|1|8|3|5|0|1|1016|1|9|2|9|11|13|1|19|3|2|918|4|3|2|0|5|8|3|0|7|0|962
seed,act1,act2,ratio,layout,hidden,lr,epochs,loss,status,seconds,train_acc,val_acc,val_f1,test_acc,test_f1,best_val_acc,best_val_epoch,epoch_loss,epoch_train_acc,epoch_val_acc,epoch_val_f1,test_confusion
102,relu,relu,0,interleave,128,0.003,10,mse,ok,87.5874,98.0311,97.08,97.0849,97.07,97.0431,97.08,10,0.0372132|0.0132464|0.0101187|0.00824274|0.00692601|0.00595651|0.00522047|0.00461747|0.00415572|0.0037515,75.6356|92.2267|94.0956|95.2511|96.0133|96.6267|97.0733|97.4533|97.7156|98.0311,90.64|93.28|94.26|94.8|95.78|96.3|96.38|96.74|96.84|97.08,90.5296|93.2449|94.2394|94.7778|95.7765|96.2922|96.3728|96.7353|96.8369|97.0849,952|0|0|1|1|1|2|0|5|1|0|1142|4|3|5|0|0|1|7|2|3|2|936|4|7|3|3|3|6|2|0|1|4|992|2|11|1|7|9|6|0|0|5|0|963|0|9|1|2|14|1|1|4|5|1|834|8|0|8|7|6|1|0|1|2|4|972|0|5|0|1|1|13|4|7|1|0|995|2|21|6|1|1|5|3|1|3|0|960|2|3|0|1|5|11|2|0|4|3|961
103,relu,relu,0,interleave,128,0.003,10,mse,ok,87.6017,97.9867,97.1,97.0948,97.1,97.0798,97.1,10,0.038419|0.0132601|0.0102107|0.00822489|0.00690223|0.00594994|0.00521506|0.00460944|0.00413503|0.00373662,74.4489|92.1711|93.96|95.16|95.9778|96.5822|97.0378|97.46|97.76|97.9867,91.06|92.98|94.5|95.28|95.78|95.98|96.4|96.86|96.76|97.1,90.9343|92.9273|94.4756|95.2823|95.7676|95.9747|96.3995|96.8575|96.766|97.0948,950|0|0|1|1|2|2|0|6|1|0|1133|4|7|3|1|0|4|11|1|3|2|926|15|5|1|4|7|5|1|0|1|3|990|1|17|0|10|9|2|0|0|3|0|964|0|7|1|2|17|1|0|2|5|0|847|4|1|5|4|7|1|0|1|2|8|968|0|4|0|0|0|5|5|4|3|0|1017|2|9|4|0|1|8|1|5|1|0|961|1|3|0|0|7|8|4|0|10|4|954
101,relu,relu,0,interleave,128,0.003,10,mse,ok,87.6125,98.04,96.9,96.8969,97.03,97.0019,96.9,8,0.0382285|0.0130616|0.00997268|0.00804781|0.00675578|0.00581928|0.00511022|0.00455056|0.00407425|0.00370221,75.1133|92.3756|94.0956|95.38|96.1667|96.7267|97.2111|97.5444|97.8089|98.04,91.14|93.26|94.38|95.6|95.78|96.26|96.56|96.9|96.8|96.9,91.0747|93.2357|94.368|95.5951|95.7678|96.2489|96.5545|96.8933|96.7912|96.8969,949|1|0|1|1|2|5|0|3|1|0|1149|4|0|5|3|0|1|1|1|4|2|926|11|8|3|5|4|5|1|0|4|3|994|2|13|0|9|4|4|1|0|5|0|963|0|7|1|1|16|0|1|4|5|1|848|5|0|2|3|6|2|0|1|3|8|970|0|1|0|0|4|6|2|7|0|0|1012|2|12|3|8|2|11|5|10|1|1|936|5|3|0|1|6|14|3|0|6|1|956
102,relu,relu,0,interleave,128,0.01,10,mse,ok,87.248,99.0711,97.72,97.7225,97.79,97.7668,97.72,10,0.0208358|0.00786114|0.00555194|0.00438674|0.00360385|0.00307568|0.0026975|0.00234059|0.00205446|0.00174873,86.4133|95.3622|96.7378|97.4311|97.9489|98.2289|98.4867|98.7156|98.8889|99.0711,93.96|96.26|96.18|96.36|97.22|97.24|97.26|97.46|97.66|97.72,93.9336|96.2496|96.1717|96.355|97.2322|97.2524|97.2524|97.4767|97.661|97.7225,954|0|0|2|1|0|3|0|2|1|0|1153|3|1|1|0|0|1|3|2|5|1|943|6|4|1|3|2|3|1|0|2|7|999|0|13|0|5|6|1|0|0|2|0|979|0|2|2|2|7|0|1|2|5|0|845|8|0|5|3|5|1|0|1|2|2|979|0|1|0|0|1|13|5|2|1|0|1010|1|12|4|4|4|7|1|2|1|0|955|4|4|0|2|5|5|3|0|7|2|962
101,relu,relu,0,interleave,128,0.03,10,mse,ok,87.2579,98.9311,97.66,97.662,97.69,97.6575,97.66,10,0.014867|0.00642705|0.00492925|0.00403926|0.00347118|0.00311098|0.00268137|0.0023178|0.00211748|0.00192324,90.1178|96|96.9778|97.5533|97.9178|98.1756|98.4356|98.7311|98.8378|98.9311,94.88|96.12|96.46|97.1|97.46|97.18|97.2|97.54|97.58|97.66,94.8755|96.1291|96.4618|97.1036|97.4646|97.172|97.1944|97.5422|97.5766|97.662,948|1|3|0|0|1|6|0|2|2|0|1159|1|1|0|0|0|1|2|0|2|2|944|7|2|4|0|4|3|1|0|1|4|1005|0|11|0|9|2|1|2|2|4|0|968|1|5|0|3|9|0|1|2|2|0|854|5|0|2|3|4|1|0|1|2|8|973|0|2|0|2|2|6|2|5|2|0|1013|1|12|3|5|2|3|1|7|2|3|954|2|1|0|1|2|21|6|1|5|2|951
103,relu,relu,0,interleave,128,0.01,10,mse,ok,87.2826,99.1244,97.82,97.8141,97.78,97.7467,97.82,10,0.021126|0.0076294|0.00545097|0.00428843|0.00353935|0.00303937|0.00244981|0.00215021|0.00190726|0.00163929,86.1|95.4044|96.7578|97.4911|98.0089|98.2733|98.7067|98.8467|98.9844|99.1244,94.66|95.8|96.86|96.86|97.4|97.44|97.56|97.6|97.78|97.82,94.6423|95.7855|96.8521|96.8778|97.402|97.4479|97.5639|97.5982|97.7828|97.8141,956|0|0|0|1|0|1|0|3|2|0|1151|1|1|0|0|1|4|6|0|1|1|940|8|2|1|1|7|5|3|0|0|6|997|0|19|0|5|4|2|1|0|2|0|971|0|7|3|2|8|2|0|2|4|1|849|2|0|6|3|7|0|0|1|1|4|974|0|4|0|1|0|7|3|2|0|0|1024|1|7|4|2|1|4|2|8|1|1|957|2|3|0|0|1|9|5|0|11|2|959
102,relu,relu,0,interleave,128,0.03,10,mse,ok,87.293,98.8422,97.26,97.2514,97.52,97.4877,97.5,9,0.0150843|0.00659692|0.00507302|0.00412019|0.00347556|0.0029894|0.00267877|0.00242301|0.00212347|0.0020665,90.0356|95.9311|96.8867|97.5022|97.9756|98.2511|98.4467|98.6333|98.82|98.8422,95.26|95.6|95.86|96.74|96.92|95.88|97.1|97.26|97.5|97.26,95.2701|95.5896|95.8473|96.7244|96.9192|95.9235|97.0844|97.2636|97.4866|97.2514,955|0|0|0|1|0|1|0|4|2|0|1154|4|0|0|0|0|1|4|1|8|1|941|3|4|0|0|1|9|2|2|1|7|1000|0|11|0|5|6|1|2|0|2|0|969|1|3|3|3|11|1|0|0|5|1|838|13|0|9|2|6|1|0|0|2|0|979|0|3|0|5|2|10|5|5|2|0|1008|1|7|2|4|4|4|0|1|4|3|958|2|5|0|0|5|6|5|0|14|5|950
103,relu,relu,0,interleave,128,0.03,10,mse,ok,85.3308,98.8289,97.46,97.4585,97.66,97.6344,97.46,10,0.0150147|0.00655347|0.00496744|0.0040144|0.00360409|0.00325839|0.00274126|0.00261319|0.00227252|0.00212804,90.1178|95.9244|97.0178|97.5911|97.8644|98.0467|98.4067|98.4956|98.7178|98.8289,95.54|95.98|96.88|97.18|97.04|97.2|97.32|97.08|97.34|97.46,95.5332|95.9623|96.875|97.1996|97.0378|97.2052|97.3249|97.0966|97.3361|97.4585,954|0|0|0|1|0|2|1|3|2|0|1149|1|2|0|0|0|5|7|0|5|2|936|10|4|0|1|2|5|4|0|0|3|1014|1|7|0|3|4|1|0|0|2|0|961|0|6|3|1|21|1|1|2|9|0|840|4|0|9|3|6|0|0|2|2|2|976|0|3|0|0|0|7|5|2|0|0|1016|1|14|5|3|2|3|0|7|1|1|955|5|4|1|0|4|6|3|0|6|1|965
