seed,act1,act2,ratio,layout,hidden,lr,epochs,loss,status,seconds,train_acc,val_acc,val_f1,test_acc,test_f1,best_val_acc,best_val_epoch,epoch_loss,epoch_train_acc,epoch_val_acc,epoch_val_f1,test_confusion
1,tanh,relu,0.5,block,12,0.001,10,ce,ok,14.8814,94.2267,93.32,93.2475,93.86,93.8072,93.34,9,0.959785|0.398043|0.320007|0.28266|0.257385|0.237771|0.222567|0.210788|0.201186|0.194306,72.2178|88.7356|90.7667|91.8667|92.5578|93.0889|93.4778|93.7978|94.0489|94.2267,86.24|89.9|90.48|91.88|92.32|92.36|92.58|92.74|93.34|93.32,86.0851|89.8184|90.4082|91.742|92.2277|92.2455|92.4786|92.652|93.28|93.2475,965|0|6|1|1|5|7|3|11|5|0|1061|13|5|2|3|0|0|15|0|4|5|891|11|10|1|13|4|14|2|1|7|25|934|0|29|3|4|16|10|2|2|3|0|931|0|9|3|5|28|4|0|5|28|6|837|17|0|17|4|6|1|2|0|13|5|961|0|2|0|0|6|11|9|12|3|0|973|5|16|0|5|8|16|3|11|12|2|948|6|5|2|0|2|29|11|0|29|13|885
3,tanh,relu,0.5,block,12,0.001,10,ce,ok,14.926,94.3978,93.44,93.3557,93.61,93.5534,93.44,10,0.90245|0.346813|0.285921|0.254534|0.235077|0.22029|0.21141|0.201919|0.195682|0.189401,74.64|90.16|91.7489|92.5267|93.1756|93.4778|93.7644|94.1067|94.2422|94.3978,88.64|90.94|92.22|92.46|92.76|92.66|92.92|92.72|92.86|93.44,88.4832|90.804|92.1427|92.3744|92.6853|92.5883|92.8223|92.5838|92.7619|93.3557,961|0|5|3|2|11|13|0|7|2|1|1061|10|6|0|3|2|4|11|1|6|7|882|7|5|1|25|7|10|5|2|6|23|930|0|36|1|10|17|4|1|4|1|0|924|2|15|1|8|27|5|4|3|19|1|859|14|0|11|2|5|1|1|0|8|8|966|0|1|0|2|2|17|2|9|6|0|979|2|16|2|18|10|15|2|24|14|1|919|6|7|4|0|8|22|25|0|17|13|880
2,tanh,relu,0.5,block,12,0.001,10,ce,ok,14.9891,94.38,93.38,93.2976,94.26,94.2042,93.38,10,0.84912|0.368141|0.297123|0.260272|0.239332|0.224201|0.212647|0.204149|0.19546|0.190431,75.8289|89.1711|91.2289|92.4667|92.9444|93.3333|93.6978|93.9756|94.1667|94.38,86.48|89.84|91.62|92.42|92.56|93.06|92.9|93.02|93.24|93.38,86.1672|89.635|91.4884|92.3396|92.4807|92.9731|92.8143|92.9419|93.1488|93.2976,961|0|3|4|4|6|8|1|11|6|0|1066|13|4|2|3|0|0|10|1|2|4|886|20|7|3|14|7|12|0|2|3|21|934|0|39|2|8|13|7|0|2|1|0|943|2|4|3|4|24|2|2|4|22|8|846|19|1|9|5|7|1|1|0|12|7|956|1|5|0|1|2|7|2|7|2|1|991|3|19|0|7|6|23|4|19|13|3|923|13|6|1|0|2|18|11|1|10|7|920
4,tanh,relu,0.5,block,12,0.001,10,ce,ok,15.0333,94.6222,93.6,93.5145,94.04,93.9756,93.64,8,0.872565|0.367112|0.300141|0.263201|0.240748|0.225281|0.212534|0.200164|0.190805|0.183559,75.1511|89.3467|91.2422|92.3956|92.92|93.4933|93.7467|94.1689|94.4289|94.6222,87.86|90.46|91.28|91.94|92.36|92.8|93.4|93.64|93.52|93.6,87.622|90.3281|91.1665|91.835|92.2614|92.7001|93.3175|93.5514|93.433|93.5145,976|0|2|2|2|6|5|0|7|4|0|1071|14|4|2|0|0|0|5|3|7|3|889|13|10|1|12|5|11|4|3|6|23|949|0|22|1|12|5|8|0|1|3|0|909|1|11|7|5|46|9|1|6|32|6|837|10|1|9|7|8|0|5|0|16|5|953|1|2|0|0|1|14|6|3|3|0|991|3|14|5|14|8|15|3|17|13|2|914|20|9|1|0|7|15|7|0|17|5|915
8,tanh,relu,0.5,block,12,0.001,10,ce,ok,12.2955,93.9289,92.86,92.7635,93.27,93.2045,93.14,9,0.82644|0.36183|0.29882|0.268874|0.250537|0.236016|0.226248|0.217009|0.210187|0.20473,76.9422|89.6333|91.4089|92.3067|92.8|93.1578|93.4422|93.7733|93.94|93.9289,87.08|90.48|91.42|91.86|92.4|91.88|92.94|92.82|93.14|92.86,86.7109|90.3421|91.3209|91.7288|92.3077|91.7798|92.85|92.7195|93.0671|92.7635,967|0|4|3|5|6|7|1|10|1|0|1054|16|7|2|2|0|1|16|1|8|6|891|7|14|1|11|3|14|0|4|7|30|915|2|33|2|11|20|5|0|3|6|0|936|3|8|5|4|18|15|4|6|24|4|833|15|5|7|5|9|2|3|0|16|2|954|0|4|0|1|2|20|8|5|4|0|986|1|8|3|7|11|22|6|20|10|3|925|4|15|6|0|6|43|12|1|19|8|866
5,tanh,relu,0.5,block,12,0.001,10,ce,ok,12.527,94.1133,92.68,92.5922,93.2,93.1512,92.68,10,0.901265|0.368014|0.308468|0.278155|0.256304|0.239268|0.225983|0.216061|0.206306|0.198332,75.8911|89.5378|91.1689|91.9644|92.5911|93.0222|93.3733|93.58|93.9|94.1133,88.24|89.88|90.76|91.02|92.36|92.38|92.54|92.54|92.5|92.68,88.0816|89.7169|90.6462|90.9304|92.2578|92.2803|92.4412|92.4743|92.3832|92.5922,969|0|5|5|2|9|3|1|7|3|0|1070|12|5|2|1|0|0|6|3|6|9|889|17|9|3|8|3|10|1|0|7|22|956|1|18|1|9|9|6|2|1|2|2|904|1|7|1|5|58|8|1|6|48|2|826|8|4|13|2|7|1|7|0|10|14|945|0|5|1|1|1|15|7|4|1|0|987|0|19|2|19|10|52|4|18|6|3|882|15|10|0|0|17|13|5|0|31|8|892
7,tanh,relu,0.5,block,12,0.001,10,ce,ok,12.4661,93.9111,93.06,92.9206,93.24,93.1515,93.06,10,0.884374|0.361731|0.29736|0.267889|0.24954|0.235299|0.224897|0.216162|0.207854|0.20248,74.8956|89.7289|91.36|92.1778|92.7267|93.0956|93.3222|93.4889|93.7822|93.9111,87.26|90.24|91.34|92.04|92.12|92.12|92.94|92.58|92.66|93.06,87.1131|90.0575|91.1594|91.9145|91.9583|91.9994|92.8385|92.4733|92.5427|92.9206,960|0|3|3|2|10|12|3|7|4|0|1069|10|1|2|1|0|5|10|1|8|8|889|9|5|4|16|4|10|2|2|5|24|912|1|53|2|9|16|5|7|4|2|1|908|1|16|2|7|35|9|5|6|27|2|822|27|1|16|3|6|1|1|0|7|5|968|0|1|1|3|1|15|0|11|1|0|999|1|4|4|18|6|13|3|30|16|4|912|5|14|7|1|5|16|14|0|24|10|885
6,tanh,relu,0.5,block,12,0.001,10,ce,ok,12.5617,94.7867,94,93.9021,94.13,94.0804,94.04,9,0.897463|0.328795|0.271429|0.239908|0.220209|0.206317|0.194475|0.187006|0.180545|0.17594,74.9956|90.4533|92.2267|92.9644|93.5289|93.9267|94.2822|94.5067|94.6622|94.7867,88.82|91.22|92.36|92.06|93.28|93.68|93.8|93.58|94.04|94,88.6829|91.1279|92.2429|91.9354|93.1882|93.5822|93.7317|93.511|93.9797|93.9021,964|0|1|1|4|4|18|1|9|2|0|1070|14|4|3|1|0|3|4|0|7|9|894|5|5|2|9|10|14|0|3|12|18|927|1|22|4|13|20|9|2|3|2|0|935|2|15|3|3|18|3|1|7|8|6|849|27|3|12|2|6|1|2|0|5|1|972|0|3|0|3|6|15|1|7|3|0|987|1|12|2|14|8|11|3|13|17|1|932|10|10|5|0|5|38|8|0|15|12|883
9,tanh,relu,0.5,block,12,0.001,10,ce,ok,12.193,93.7711,93.22,93.117,93.3,93.2255,93.22,10,0.961319|0.385384|0.320129|0.285646|0.263162|0.24692|0.234164|0.223749|0.216697|0.210723,71.3689|89.1289|90.8356|91.6867|92.32|92.8333|93.1578|93.3644|93.6667|93.7711,87.38|90.12|91.08|90.94|92.14|92.48|92.08|92.62|93|93.22,87.2075|89.9332|90.9809|90.8589|92.0302|92.3917|91.9497|92.5275|92.8925|93.117,965|0|5|2|5|9|3|2|9|4|1|1073|7|0|2|1|3|4|7|1|13|9|872|8|10|2|10|10|18|3|1|6|21|921|1|36|0|10|31|2|0|3|3|1|932|2|8|4|8|22|11|2|4|20|9|825|12|3|31|1|8|2|6|0|14|6|950|0|3|1|0|3|10|2|10|4|1|993|1|11|6|13|6|16|8|23|9|2|913|15|7|3|0|8|26|6|0|27|13|886
11,tanh,relu,0.5,block,12,0.001,10,ce,ok,12.082,94.2022,93.22,93.116,93.44,93.3876,93.22,10,0.884028|0.33572|0.283438|0.25734|0.242038|0.229258|0.219852|0.211466|0.204147|0.197642,75.2556|90.3622|91.72|92.5111|92.86|93.3778|93.5756|93.8622|93.9556|94.2022,88.86|90.04|91.2|91.86|92.34|92.16|92.66|92.62|93.1|93.22,88.6277|89.8992|91.054|91.709|92.1735|92.0326|92.5614|92.4871|92.9885|93.116,955|0|0|3|5|24|6|2|9|0|0|1065|7|9|2|5|0|1|10|0|8|8|862|19|10|3|11|9|20|5|2|7|13|959|0|29|0|4|12|3|4|3|1|1|919|3|6|2|7|37|4|1|3|13|4|864|10|0|18|1|6|1|2|0|21|20|939|0|1|0|0|1|9|12|7|4|0|984|1|17|8|6|5|40|3|36|6|2|896|9|3|4|0|6|20|18|1|16|7|901
