seed,act1,act2,ratio,layout,hidden,lr,epochs,loss,status,seconds,train_acc,val_acc,val_f1,test_acc,test_f1,best_val_acc,best_val_epoch,epoch_loss,epoch_train_acc,epoch_val_acc,epoch_val_f1,test_confusion
2,relu,relu,0,interleave,12,0.001,10,ce,ok,13.4981,94.56,94.02,94.008,93.78,93.6874,94.02,10,0.861367|0.370436|0.312883|0.27626|0.250387|0.231074|0.217033|0.20407|0.193154|0.18549,72.0444|89.3956|91.1267|92.0956|92.7489|93.3489|93.6022|93.9889|94.4|94.56,86.92|89.62|91.32|91.82|92.96|93.46|93.9|94|93.96|94.02,86.7336|89.5293|91.2878|91.7738|92.9354|93.4638|93.9087|93.9885|93.9569|94.008,935|0|6|1|1|3|3|0|13|1|0|1146|1|3|4|0|0|4|5|1|6|9|888|19|14|1|8|11|13|0|1|6|14|951|0|25|1|23|10|2|4|2|7|0|945|1|10|2|3|20|6|1|5|17|5|807|14|3|7|4|3|1|5|0|4|7|964|0|6|1|5|4|8|6|6|0|0|1009|1|6|9|32|11|16|10|20|11|4|857|12|6|3|0|13|43|8|0|36|5|876
3,relu,relu,0,interleave,12,0.001,10,ce,ok,13.5245,94.0911,93.82,93.828,93.12,93.0443,93.82,10,0.830462|0.35211|0.308483|0.278832|0.256586|0.23916|0.226199|0.215161|0.207808|0.200548,74.2356|89.8289|91.0978|91.9533|92.5133|93|93.3422|93.5844|93.9044|94.0911,88.88|90.74|91.96|92.26|92.74|92.96|93.48|93.12|93.06|93.82,88.809|90.6726|91.9123|92.2245|92.7109|92.9015|93.4522|93.1277|92.9849|93.828,929|0|6|2|0|5|5|0|14|2|0|1113|2|8|4|4|1|1|28|3|6|2|873|16|10|4|15|6|32|5|2|5|10|944|0|25|1|7|28|11|3|1|3|3|929|3|16|0|1|35|4|2|3|26|6|769|14|1|27|17|3|1|2|0|0|4|973|0|8|0|8|5|14|10|10|2|0|943|2|51|6|8|5|5|6|13|12|0|918|9|4|2|1|8|37|6|1|9|1|921
6,relu,relu,0,interleave,12,0.001,10,ce,ok,13.9082,94.6711,93.72,93.6669,93.5,93.3704,93.92,9,0.842657|0.326249|0.27885|0.252773|0.233667|0.217668|0.207603|0.197963|0.19234|0.185299,73.8756|90.6489|91.96|92.7067|93.1756|93.6867|94.0222|94.1667|94.4178|94.6711,89.98|91.38|92.08|92.28|93.14|93.52|93.6|93.78|93.92|93.72,89.8596|91.3192|92.0041|92.2124|93.0817|93.4848|93.5404|93.7401|93.8827|93.6669,943|0|3|1|2|3|6|0|4|1|0|1127|3|6|3|4|0|4|16|1|15|6|870|4|8|8|14|16|25|3|5|7|18|905|3|41|2|20|21|11|3|1|7|0|925|2|13|0|5|38|18|1|6|12|8|775|16|4|18|11|14|1|1|0|7|4|959|0|5|0|4|5|6|3|6|2|0|1005|2|12|15|5|6|7|7|11|8|2|902|19|9|1|0|5|20|3|0|12|1|939
5,relu,relu,0,interleave,12,0.001,10,ce,ok,13.979,94.2889,93.56,93.545,93.54,93.4622,93.84,9,0.798597|0.365812|0.317235|0.286866|0.265021|0.244255|0.227794|0.214138|0.204441|0.195283,75.4867|89.4978|91|91.86|92.3244|93.02|93.3067|93.8222|94.1333|94.2889,88.86|90.64|91.44|92.1|92.68|93.08|92.86|91.46|93.84|93.56,88.7374|90.5739|91.3932|92.0643|92.6678|93.0491|92.8544|91.4278|93.8238|93.545,941|0|5|1|2|0|3|1|9|1|0|1128|3|3|3|4|0|4|14|5|9|8|890|11|11|2|7|15|13|3|3|7|9|962|2|19|1|13|12|5|4|1|8|1|871|1|10|7|6|85|6|1|6|26|3|793|9|2|10|13|12|1|2|1|6|13|948|1|7|0|1|2|5|1|4|1|0|1010|1|20|11|11|7|23|2|17|4|5|874|28|6|2|0|13|8|2|0|21|1|937
7,relu,relu,0,interleave,12,0.001,10,ce,ok,13.9844,94.2133,94.18,94.1409,93.64,93.5301,94.18,10,0.932048|0.379584|0.322365|0.286028|0.261292|0.240424|0.225869|0.215082|0.205766|0.198514,69.7178|89.2422|90.9644|91.9422|92.5578|93.0444|93.4044|93.7156|94.0067|94.2133,87.26|89.82|91.38|92.12|92.82|93.08|92.84|93.76|93.54|94.18,87.1938|89.7663|91.273|92.0783|92.752|93.0256|92.8226|93.7094|93.4977|94.1409,932|0|7|0|0|4|5|1|13|1|0|1134|5|1|4|2|0|1|17|0|14|5|879|14|10|4|15|12|15|1|1|5|17|952|1|22|2|16|15|2|4|0|9|0|905|0|12|6|4|54|9|4|3|23|5|785|11|1|20|8|6|1|1|0|2|17|958|0|6|0|2|3|9|11|9|0|0|990|1|20|1|7|10|16|4|24|9|0|901|10|8|2|0|7|18|6|0|20|1|928
8,relu,relu,0,interleave,12,0.001,10,ce,ok,13.9831,94.8044,94.26,94.2759,94.11,94.0414,94.26,10,0.830451|0.342386|0.276759|0.244491|0.224197|0.2114|0.199952|0.190468|0.18223|0.17728,74.4222|90.0444|91.9556|93.0089|93.6067|93.8711|94.1889|94.3956|94.6844|94.8044,87.74|91.1|92.38|92.72|93.58|93.68|94.22|93.86|94.12|94.26,87.5856|91.0395|92.3446|92.7079|93.5657|93.6821|94.2231|93.8525|94.1144|94.2759,935|0|5|0|1|4|2|1|13|2|0|1126|1|2|6|3|2|1|20|3|8|4|883|10|8|8|11|8|27|2|1|2|14|941|2|28|1|9|25|10|2|0|6|0|945|0|10|1|6|24|4|3|6|17|3|805|9|1|13|8|8|1|3|0|3|7|962|0|7|0|3|2|7|4|11|4|0|969|5|40|5|8|3|8|6|15|3|0|927|7|5|1|1|11|25|7|0|16|6|918
4,relu,relu,0,interleave,12,0.001,10,ce,ok,14.0227,94.5689,94.08,94.0449,93.94,93.8331,94.18,9,0.824164|0.35775|0.302273|0.267792|0.243516|0.225395|0.21264|0.202184|0.193878|0.189722,75.8111|89.7778|91.2489|92.3844|93.0244|93.5|93.8489|94.18|94.4689|94.5689,87.54|90.2|91.66|92.74|92.58|93.54|93.28|93.92|94.18|94.08,87.344|90.1795|91.639|92.6819|92.5346|93.5206|93.2688|93.8756|94.129|94.0449,932|0|8|2|1|4|4|1|10|1|0|1145|2|3|4|0|0|3|7|0|7|10|892|13|7|3|7|8|18|4|1|7|10|950|1|20|1|13|24|6|2|1|8|1|929|2|9|1|3|38|5|7|10|27|2|755|13|3|36|11|2|2|8|0|1|6|965|0|7|0|2|7|7|8|4|0|0|1003|3|11|7|15|5|12|2|8|7|0|920|6|4|6|2|16|27|3|0|21|8|903
1,relu,relu,0,interleave,12,0.001,10,ce,ok,14.3137,94.34,93.84,93.8078,93.49,93.3716,94.26,9,0.891938|0.365865|0.320513|0.289256|0.262226|0.239962|0.224085|0.212518|0.204071|0.196506,71.28|89.4289|90.7844|91.7067|92.3667|93.0844|93.5578|93.9467|94.0756|94.34,87.92|90.5|91.32|91.62|92.96|93.28|93.2|93.92|94.26|93.84,87.8823|90.4492|91.2533|91.5925|92.9298|93.2354|93.1503|93.9047|94.2382|93.8078,918|0|12|2|1|8|8|1|12|1|0|1143|4|2|5|2|0|1|6|1|7|10|885|11|13|5|11|4|22|1|2|10|12|948|1|15|2|11|26|6|3|1|6|0|947|0|11|1|6|19|3|3|11|37|6|750|19|0|27|13|4|2|4|0|4|5|966|0|6|0|0|4|16|2|14|3|0|974|4|28|2|11|8|10|7|7|7|1|919|10|3|3|2|9|47|3|0|12|12|899
10,relu,relu,0,interleave,12,0.001,10,ce,ok,13.8727,94.3311,93.7,93.6515,93.2,93.0906,93.76,9,0.930394|0.364274|0.299762|0.267864|0.246734|0.231265|0.218472|0.208548|0.200802|0.194878,70.0533|89.4711|91.3311|92.2089|92.8133|93.2489|93.74|94.0511|94.1622|94.3311,86.92|90.38|91.18|91.98|92.32|93|93.04|93.3|93.76|93.7,86.7109|90.2785|91.1007|91.9145|92.2498|92.9536|93.0155|93.2463|93.725|93.6515,935|0|1|1|1|5|3|2|14|1|0|1128|2|9|0|3|0|2|16|4|11|5|871|29|10|3|10|10|18|2|4|3|10|964|0|20|2|12|13|5|1|0|4|0|887|2|12|1|12|75|10|4|6|30|4|754|13|2|28|18|9|1|2|0|6|8|957|0|8|0|4|2|16|7|4|3|0|982|1|26|6|13|2|20|2|15|4|1|901|18|4|2|0|6|15|3|0|12|7|941
9,relu,relu,0,interleave,12,0.001,10,ce,ok,13.9653,94.2422,93.56,93.5009,93.59,93.4784,93.56,10,0.925166|0.398625|0.326331|0.291391|0.267721|0.248711|0.232771|0.219728|0.209613|0.200168,70.3822|88.3267|90.4978|91.6067|92.1533|92.8289|93.3178|93.5889|93.8689|94.2422,86.32|90.22|91.5|91.78|92.3|92.62|92.9|93.22|93.5|93.56,86.3715|90.1824|91.43|91.7044|92.2743|92.5646|92.8572|93.1774|93.4448|93.5009,938|0|3|1|1|4|4|0|11|1|0|1136|5|2|5|1|1|1|12|1|10|7|878|7|13|3|26|4|20|1|6|6|13|931|2|23|2|10|35|5|3|3|5|1|935|0|12|4|3|28|11|0|6|44|3|755|12|3|21|14|8|2|2|0|1|4|966|0|8|0|6|8|10|3|10|2|0|988|4|14|4|15|2|8|3|8|9|5|921|7|5|3|1|9|33|2|0|18|8|911
