seed,act1,act2,ratio,layout,hidden,lr,epochs,loss,status,seconds,train_acc,val_acc,val_f1,test_acc,test_f1,best_val_acc,best_val_epoch,epoch_loss,epoch_train_acc,epoch_val_acc,epoch_val_f1,test_confusion
1,relu,relu,0,interleave,12,0.003,10,ce,ok,40.2299,94.9067,93.22,93.176,93.42,93.296,94.16,9,0.548755|0.28183|0.238327|0.215569|0.203469|0.193417|0.185667|0.180014|0.173317|0.170625,83.1111|91.7689|93.0489|93.6267|93.9889|94.3044|94.4889|94.6356|94.7911|94.9067,90.34|92.96|93.54|93.84|94.04|93.98|92.66|93.96|94.16|93.22,90.2913|92.925|93.5313|93.8381|94.0166|93.9555|92.6624|93.9636|94.1563|93.176,930|0|7|1|1|0|13|0|11|0|0|1141|6|1|4|0|0|2|10|0|8|2|889|8|7|2|15|7|24|7|0|11|24|939|1|10|0|8|34|6|1|1|13|0|945|0|9|4|2|19|0|8|10|38|6|717|16|2|54|18|3|3|3|1|5|1|966|0|9|0|2|2|23|5|17|0|0|976|2|18|2|9|18|7|5|0|5|0|923|13|4|3|0|8|31|1|0|15|12|916
4,relu,relu,0,interleave,12,0.003,10,ce,ok,43.1288,94.5444,94.28,94.2628,94.25,94.1647,94.72,9,0.538817|0.288672|0.244123|0.223276|0.212395|0.204049|0.197105|0.189645|0.185765|0.183335,83.62|91.4289|92.8978|93.4244|93.6978|93.9533|94.1578|94.3844|94.4822|94.5444,88.9|92.24|92.88|93.66|93.74|92.9|93.08|93.96|94.72|94.28,88.6795|92.2186|92.8575|93.6161|93.6975|92.8904|93.0797|93.9184|94.6998|94.2628,944|0|0|0|1|4|4|2|8|0|0|1145|2|2|3|0|0|2|8|2|10|19|869|15|10|3|8|14|20|1|3|7|8|956|2|29|2|13|9|4|2|0|12|0|924|1|9|1|4|41|4|4|6|20|2|797|11|3|18|4|2|2|1|0|1|6|970|0|9|0|0|3|3|11|7|0|2|1011|0|8|8|22|3|13|4|11|10|6|891|14|3|2|2|14|20|8|1|18|4|918
6,relu,relu,0,interleave,12,0.003,10,ce,ok,43.7132,94.8844,93.92,93.8734,93.45,93.3392,94.54,9,0.533527|0.274154|0.232539|0.215525|0.202749|0.191389|0.185142|0.177399|0.175525|0.170462,83.6556|91.8733|93.14|93.6089|93.9644|94.2956|94.5289|94.58|94.7244|94.8844,92.2|92.72|93.56|93.5|94.16|94.02|94.44|94.46|94.54|93.92,92.1178|92.6912|93.5192|93.4495|94.1551|94.0228|94.4241|94.4399|94.5249|93.8734,947|0|8|0|1|0|3|0|2|2|0|1127|7|3|3|3|2|3|15|1|11|3|918|0|11|2|9|9|6|0|9|3|77|891|1|21|2|17|10|2|5|0|10|0|924|1|18|3|4|29|19|2|7|13|7|771|33|0|8|9|14|1|3|0|2|2|966|0|3|0|1|1|13|1|7|0|0|1011|1|10|15|3|38|3|1|5|22|2|886|7|13|0|0|7|32|6|2|21|5|904
2,relu,relu,0,interleave,12,0.003,10,ce,ok,43.879,94.9778,94.46,94.4386,94.16,94.077,94.46,10,0.597866|0.295156|0.247499|0.223662|0.206998|0.196924|0.189574|0.183518|0.176089|0.171853,81.1756|91.3356|92.66|93.5133|93.8867|94.2689|94.4822|94.52|94.78|94.9778,89.12|92.24|93.18|93.74|93.7|93.04|94|94.1|94|94.46,89.0316|92.1754|93.1409|93.7051|93.6843|93.0466|93.9799|94.0759|94.0047|94.4386,940|0|3|0|1|2|7|0|9|1|0|1135|2|4|4|3|1|5|9|1|8|11|884|16|4|4|11|18|13|0|0|7|6|956|0|31|1|18|6|8|4|0|7|0|935|2|14|2|5|25|3|2|7|14|3|805|15|2|9|9|3|1|1|0|4|6|975|0|1|0|4|5|11|9|7|1|1|992|2|13|6|12|10|11|9|17|20|2|882|13|5|1|2|5|37|4|0|20|4|912
5,relu,relu,0,interleave,12,0.003,10,ce,ok,43.8714,94.4556,93.56,93.5556,93.63,93.5414,93.56,10,0.536241|0.305904|0.263307|0.237854|0.222411|0.209818|0.200503|0.195473|0.187247|0.184569,83.9311|91.0911|92.1689|92.94|93.3533|93.7378|94.0956|94.1778|94.3133|94.4556,90.66|92.2|92.94|93.42|92.92|92.82|92.46|91.62|92.68|93.56,90.5936|92.1478|92.9246|93.4214|92.9029|92.8235|92.4873|91.581|92.7102|93.5556,944|0|2|0|3|1|2|1|8|2|1|1141|1|0|3|3|0|6|5|4|17|15|871|5|14|6|6|20|13|2|4|4|24|915|4|23|2|26|21|10|2|1|7|0|907|1|8|5|3|60|2|2|4|13|2|804|13|3|9|17|12|1|0|0|6|12|958|0|2|0|0|4|5|1|12|0|0|1002|1|20|15|11|7|6|3|21|8|6|876|29|4|0|0|9|10|3|0|18|1|945
8,relu,relu,0,interleave,12,0.003,10,ce,ok,44.0311,94.8378,93.78,93.8144,93.57,93.5027,94.54,9,0.525847|0.266262|0.234385|0.217481|0.204502|0.197588|0.188947|0.181256|0.177634|0.171974,83.9444|92.1689|92.9911|93.5867|93.8756|94.0689|94.2956|94.5844|94.7156|94.8378,90.5|92.24|93.02|93.08|93.66|93.84|94.26|94.22|94.54|93.78,90.4435|92.2392|93.0009|93.058|93.619|93.8542|94.246|94.2234|94.5215|93.8144,931|0|4|0|1|6|4|2|13|2|0|1111|1|1|5|0|4|6|32|4|12|3|862|4|22|8|8|21|26|3|3|0|9|931|1|26|2|16|23|22|2|0|4|0|932|0|7|4|2|43|7|0|4|13|5|783|23|3|16|15|7|1|0|1|5|5|965|0|7|0|1|0|6|1|9|1|0|988|2|37|6|5|5|1|8|9|7|4|917|20|4|0|0|7|18|2|0|19|3|937
7,relu,relu,0,interleave,12,0.003,10,ce,ok,44.6938,94.9867,94.42,94.4065,93.96,93.8718,94.42,10,0.587357|0.290609|0.246645|0.22449|0.208377|0.195343|0.187159|0.181062|0.175544|0.17135,81.38|91.4867|92.6711|93.4444|93.7844|94.1933|94.5756|94.6556|94.7956|94.9867,89.38|92.48|92.82|93.7|93.22|94.14|93.1|94.12|94.34|94.42,89.3947|92.4102|92.7819|93.6933|93.201|94.1098|93.1216|94.1101|94.3289|94.4065,931|1|3|1|1|7|4|1|9|5|0|1147|3|1|2|1|0|5|5|0|7|6|887|15|10|2|10|14|15|3|0|8|12|962|0|26|0|17|5|3|5|0|7|0|892|1|9|2|6|72|3|2|0|24|1|815|5|2|13|4|11|2|8|0|1|15|942|0|12|0|1|4|6|6|6|0|1|1007|1|13|5|18|9|9|4|27|7|1|890|12|4|3|0|11|18|7|0|23|1|923
3,relu,relu,0,interleave,12,0.003,10,ce,ok,44.82,94.5978,94.4,94.3889,93.45,93.3862,94.4,10,0.545637|0.287824|0.249181|0.228572|0.216493|0.205861|0.199029|0.189074|0.185856|0.181637,83.2533|91.5356|92.6578|93.2733|93.5622|93.9267|94.2244|94.3089|94.6267|94.5978,90.9|92.38|93.5|93.3|93.72|92.48|94.22|93.38|93.92|94.4,90.8519|92.3588|93.4777|93.3218|93.6972|92.5074|94.2025|93.3788|93.8925|94.3889,940|0|2|2|1|5|2|0|10|1|0|1115|3|13|3|1|1|1|27|0|9|2|883|31|10|4|7|4|18|1|4|1|8|955|0|24|1|8|29|3|6|0|6|1|907|0|15|2|15|42|5|3|4|23|3|774|19|2|25|11|3|2|3|1|4|3|966|0|9|0|7|3|13|18|12|2|0|959|2|29|10|1|6|11|3|7|8|0|927|9|9|2|0|13|22|2|0|13|10|919
9,relu,relu,0,interleave,12,0.003,10,ce,ok,45.1412,94.7444,94.18,94.1498,94.02,93.9247,94.4,8,0.595937|0.295102|0.249199|0.230192|0.213113|0.202837|0.194254|0.188481|0.181155|0.175213,81.4111|91.3933|92.7533|93.3333|93.7311|93.9044|94.2022|94.2822|94.4978|94.7444,90.72|92.42|93.54|92.66|93.48|93.36|93.48|94.4|93.86|94.18,90.7213|92.39|93.5083|92.6032|93.4591|93.3495|93.425|94.3678|93.8235|94.1498,943|0|1|1|0|6|3|0|9|0|0|1126|4|3|4|3|0|1|23|0|18|3|892|4|11|3|13|6|19|0|8|7|14|931|2|37|1|11|17|5|6|1|3|0|951|1|15|1|6|10|10|0|4|7|3|823|10|2|6|4|4|1|1|0|1|8|973|0|3|0|1|4|11|5|10|8|0|992|3|11|7|7|9|8|6|27|17|1|898|2|6|2|2|11|49|11|1|28|7|873
10,relu,relu,0,interleave,12,0.003,10,ce,ok,46.4997,94.5511,92.8,92.7969,92.57,92.4705,94.02,7,0.577423|0.295971|0.25196|0.231135|0.217472|0.20576|0.197648|0.191352|0.187425|0.181973,81.8133|91.3|92.5867|93.2667|93.4511|93.7867|94.1778|94.2889|94.2689|94.5511,90.38|91.76|92.88|93.12|92.98|93.86|94.02|93.98|93.92|92.8,90.2667|91.7107|92.8699|93.1097|92.929|93.8372|94.0182|93.9755|93.8863|92.7969,935|0|4|4|1|4|4|0|10|1|0|1143|1|10|0|0|0|1|8|1|3|10|880|42|11|1|7|5|10|0|0|7|8|990|0|13|1|9|3|2|4|3|6|1|854|3|16|0|13|94|7|4|6|58|1|741|13|0|28|11|8|1|1|0|3|14|941|0|23|0|8|3|17|18|3|5|0|956|1|34|2|19|8|34|3|10|4|0|896|6|7|5|2|15|11|6|0|11|12|921
