seed,act1,act2,ratio,layout,hidden,lr,epochs,loss,status,seconds,train_acc,val_acc,val_f1,test_acc,test_f1,best_val_acc,best_val_epoch,epoch_loss,epoch_train_acc,epoch_val_acc,epoch_val_f1,test_confusion
2,relu,relu,0,interleave,512,0.01,10,ce,ok,488.986,99.7267,98.14,98.1338,98.2,98.182,98.14,10,0.25855|0.103378|0.068593|0.0486987|0.0355837|0.0258738|0.0220502|0.0174319|0.00962152|0.00855663,92.1356|96.8333|97.9|98.48|98.8822|99.1556|99.2978|99.4333|99.7111|99.7267,96.1|96.96|96.52|97.58|97.68|97.84|97.72|97.84|97.98|98.14,96.1096|96.9519|96.5171|97.5844|97.6849|97.8352|97.7119|97.8445|97.9793|98.1338,958|0|0|0|1|0|0|0|2|2|0|1160|1|0|1|0|0|2|0|0|1|8|941|8|3|2|1|3|2|0|0|1|3|1004|1|12|0|7|2|3|0|0|2|0|985|0|4|0|0|3|0|1|0|2|1|857|4|0|2|2|4|2|0|2|4|5|973|0|1|0|1|1|2|1|5|0|0|1028|0|7|3|4|0|5|6|5|1|0|956|2|3|0|0|1|17|4|0|6|1|958
1,relu,relu,0,interleave,512,0.01,10,ce,ok,489.096,99.7156,97.72,97.7158,97.83,97.8054,98,9,0.262722|0.103286|0.0695164|0.0499146|0.0363052|0.0275264|0.0200225|0.0182016|0.015188|0.00961278,91.8133|96.8044|97.6956|98.4444|98.8733|99.0844|99.3644|99.3556|99.4733|99.7156,96.24|94.9|97.16|97.6|97.7|97.74|97.7|97.88|98|97.72,96.2395|94.9526|97.1615|97.5914|97.6973|97.7399|97.7056|97.879|97.9995|97.7158,953|1|0|1|1|0|4|0|2|1|0|1161|0|0|0|0|0|1|2|0|1|7|920|11|7|0|7|8|4|4|0|0|6|1003|1|15|0|2|4|2|0|0|0|1|974|0|10|3|1|5|1|0|0|3|0|848|11|0|4|2|2|1|0|0|2|1|985|0|0|0|0|4|5|5|3|0|0|1024|1|3|3|5|3|3|2|1|6|1|957|1|2|1|0|2|8|4|0|11|4|958
3,relu,relu,0,interleave,512,0.01,10,ce,ok,489.261,99.6244,97.98,97.9713,98.13,98.1072,97.98,10,0.263892|0.104146|0.0695942|0.0487642|0.0363735|0.0284796|0.023017|0.0156832|0.0152042|0.0109825,91.7178|96.7356|97.7822|98.4244|98.8644|99.0644|99.2511|99.4844|99.4867|99.6244,96|96.68|97.46|97.14|97.28|97.54|97.8|97.68|97.52|97.98,95.9999|96.6709|97.4671|97.1452|97.3092|97.5467|97.7929|97.6913|97.5281|97.9713,954|0|1|1|1|0|2|0|3|1|0|1155|1|0|2|0|0|3|3|0|2|3|948|3|3|2|1|3|2|2|0|0|6|1011|0|8|0|5|2|1|0|0|1|0|978|2|6|0|2|5|1|1|1|4|1|847|7|0|5|2|4|1|0|0|2|1|982|0|1|0|0|1|5|1|6|0|0|1027|1|4|4|4|2|3|1|0|3|1|962|2|3|0|0|4|16|3|1|8|6|949
4,relu,relu,0,interleave,512,0.01,10,ce,ok,489.266,99.4756,98.12,98.1156,98.2,98.1701,98.12,10,0.262155|0.102695|0.0700054|0.0472082|0.037296|0.028056|0.0215787|0.0155021|0.015408|0.0149276,91.9289|96.8756|97.7578|98.5244|98.8244|99.0022|99.2778|99.46|99.4689|99.4756,95.7|95.8|96.78|97.32|97.92|97.96|97.86|97.46|98.02|98.12,95.7119|95.8411|96.7964|97.3431|97.9228|97.9478|97.8681|97.4891|98.0045|98.1156,950|0|5|0|1|0|3|0|2|2|0|1159|1|1|0|0|0|1|2|0|3|1|959|1|2|0|0|2|0|1|0|0|11|1002|0|12|0|4|2|2|0|0|4|0|978|1|3|4|1|3|0|1|1|8|1|849|3|0|4|2|5|1|1|1|1|3|975|0|4|0|0|0|8|5|1|0|0|1024|1|6|3|3|3|6|0|6|0|0|960|1|4|0|0|2|8|4|0|5|3|964
5,relu,relu,0,interleave,512,0.01,10,ce,ok,489.065,99.4822,97.3,97.294,97.76,97.7345,97.88,5,0.261309|0.104846|0.0695517|0.0487195|0.0354668|0.0276435|0.025009|0.0170325|0.0121669|0.0158419,92.0289|96.7289|97.82|98.4533|98.8|99.08|99.1667|99.4733|99.6533|99.4822,95.98|97.16|97.66|97.4|97.88|97.62|96.82|97.78|97.82|97.3,95.9634|97.1642|97.6661|97.3952|97.8749|97.6149|96.7692|97.7805|97.8145|97.294,954|0|0|1|1|0|1|0|5|1|0|1155|2|0|0|0|0|1|6|0|2|2|941|13|0|0|3|1|7|0|0|0|5|1014|0|7|0|2|2|3|0|1|3|1|970|0|8|2|3|6|1|0|1|9|1|840|6|0|5|6|6|0|0|1|0|1|981|0|2|0|18|1|14|3|4|1|0|997|1|6|2|4|0|4|3|4|1|1|962|1|4|3|1|2|9|1|0|4|4|962
1,tanh,tanh,0,interleave,512,0.01,10,ce,ok,552.157,99.4778,97.8,97.7899,97.89,97.8691,97.8,10,0.355126|0.174962|0.122433|0.0892305|0.0682225|0.0525877|0.0382674|0.0328324|0.0217963|0.0161413,89.3311|94.7533|96.1778|97.2489|97.7822|98.2867|98.7511|98.9222|99.3044|99.4778,94.74|93.7|96.34|96.3|97.08|97.04|97.38|97.08|97.34|97.8,94.736|93.7898|96.3412|96.2976|97.0766|97.0367|97.3849|97.0772|97.3263|97.7899,955|0|0|1|1|0|1|0|4|1|0|1156|2|1|2|0|0|2|0|1|2|2|952|4|3|2|0|3|1|0|1|3|6|993|0|18|0|5|4|3|0|0|1|0|973|1|5|1|1|12|0|0|1|8|1|847|4|0|5|3|3|3|4|1|1|3|972|0|4|0|0|2|10|2|4|2|0|1012|1|12|3|5|2|5|0|2|1|1|962|1|1|2|0|2|8|2|0|4|4|967
2,tanh,tanh,0,interleave,512,0.01,10,ce,ok,550.862,99.4822,97.48,97.4875,97.64,97.6048,97.74,8,0.354325|0.176297|0.117751|0.0899275|0.0673784|0.0536191|0.0389884|0.0279676|0.0213505|0.0157679,89.38|94.66|96.4356|97.1889|97.8089|98.2889|98.6756|99.0667|99.3333|99.4822,94.02|95.82|95.7|96.62|96.7|97.6|97.08|97.74|97.62|97.48,93.9849|95.8276|95.6693|96.6119|96.7099|97.5998|97.0562|97.7418|97.6218|97.4875,956|0|0|1|1|0|3|0|1|1|0|1149|2|2|2|0|0|4|3|2|5|2|931|12|4|1|4|4|6|0|0|1|4|1005|0|16|0|5|1|1|0|0|1|0|972|3|5|2|1|10|0|0|3|8|1|847|3|0|3|4|3|2|0|1|2|4|979|0|0|0|0|0|7|2|4|0|0|1011|3|18|2|4|3|3|0|16|1|0|950|3|4|0|0|3|9|5|0|2|3|964
3,tanh,tanh,0,interleave,512,0.01,10,ce,ok,551.121,99.6622,97.62,97.6137,97.76,97.7339,97.62,9,0.356781|0.173645|0.118975|0.0876127|0.0672024|0.0516247|0.0370955|0.0276577|0.0193336|0.0112192,89.2489|94.74|96.3667|97.2733|97.8733|98.3067|98.7956|99.1044|99.34|99.6622,93.34|95.86|96.28|96.54|96.6|97.1|97.4|97.24|97.62|97.62,93.3243|95.8533|96.2879|96.5275|96.5998|97.1037|97.3942|97.2387|97.6172|97.6137,951|0|0|1|1|1|4|0|4|1|0|1148|1|1|3|0|0|3|8|0|1|2|945|2|2|1|6|3|4|3|0|2|0|1001|1|10|0|9|9|1|0|0|3|0|959|0|15|4|3|10|0|0|1|10|0|833|8|0|7|10|1|0|0|0|0|3|984|0|3|0|0|0|2|0|3|0|1|1031|2|6|2|2|0|1|1|0|3|0|971|2|1|2|1|2|15|1|0|9|6|953
4,tanh,tanh,0,interleave,512,0.01,10,ce,ok,552.539,99.48,97.56,97.5653,97.79,97.7622,97.56,10,0.355852|0.177264|0.121226|0.089434|0.0716065|0.0521731|0.0382455|0.0301677|0.022007|0.0151874,89.4267|94.74|96.3267|97.1956|97.6956|98.2667|98.74|99.04|99.2756|99.48,93.42|94.4|96.22|96.62|95.88|97.18|97.18|97.22|97.52|97.56,93.3854|94.4293|96.2136|96.6279|95.8839|97.1791|97.2012|97.2162|97.5197|97.5653,950|1|1|1|1|0|3|0|5|1|0|1152|3|0|4|0|0|4|0|1|0|1|948|5|5|0|1|3|6|0|0|3|2|1000|1|16|0|8|3|0|0|0|3|0|963|0|6|3|4|15|0|1|1|6|0|844|5|0|8|4|3|0|0|0|2|4|978|0|4|0|0|1|5|1|4|1|0|1029|1|3|1|3|6|3|0|2|0|0|965|2|4|0|1|7|9|4|0|10|5|950
5,tanh,tanh,0,interleave,512,0.01,10,ce,ok,551.627,99.3844,97.68,97.6898,97.62,97.581,97.68,10,0.35282|0.171501|0.120119|0.0915781|0.070823|0.0538183|0.0416646|0.0296721|0.0202066|0.0180263,89.4667|94.8644|96.4111|97.0844|97.76|98.2|98.6156|99.0111|99.3467|99.3844,94.14|95.82|95.92|96.28|97.18|97.16|97.22|97.28|97.08|97.68,94.1329|95.8061|95.8857|96.29|97.181|97.1397|97.2254|97.2659|97.0764|97.6898,953|0|0|1|1|0|3|0|4|1|0|1156|1|0|1|0|0|4|2|0|3|2|948|3|2|2|1|4|4|0|1|1|4|999|0|11|0|5|9|3|0|1|3|1|953|2|11|5|4|14|1|0|4|6|3|840|5|0|7|3|3|2|1|0|2|7|975|0|1|0|0|0|8|2|1|0|0|1025|3|6|3|2|1|4|0|4|1|2|963|2|2|1|2|4|5|6|0|11|9|950
1,leaky_relu,leaky_relu,0,interleave,512,0.003,10,ce,ok,492.098,99.5222,97.8,97.7952,98.02,97.9959,97.88,9,0.395764|0.154994|0.105466|0.0781459|0.0600234|0.0465622|0.0357715|0.029977|0.0207791|0.0170392,88.68|95.4|96.8356|97.6933|98.2|98.5956|98.9556|99.1044|99.4867|99.5222,94.66|95.32|96.98|97.3|97.48|97.52|97.64|97.7|97.88|97.8,94.6398|95.3336|96.9717|97.2983|97.4724|97.5131|97.634|97.6997|97.8801|97.7952,954|0|1|0|1|0|3|0|2|2|0|1153|1|2|4|0|0|2|2|0|1|2|951|4|3|0|2|3|1|2|0|0|5|1008|1|14|0|3|2|0|0|0|4|0|971|0|6|0|1|12|0|2|3|7|0|842|6|1|4|4|4|1|0|0|2|2|980|0|2|0|0|1|8|6|5|1|0|1015|1|8|4|4|6|5|1|0|1|0|958|3|3|0|0|2|5|3|0|3|4|970
2,leaky_relu,leaky_relu,0,interleave,512,0.003,10,ce,ok,491.867,99.5556,97.78,97.7795,97.83,97.8038,97.82,8,0.393059|0.157364|0.105453|0.0794612|0.0608997|0.0470587|0.0373226|0.0289195|0.0214667|0.0167743,88.9822|95.3533|96.8844|97.6844|98.18|98.5867|98.8422|99.12|99.3822|99.5556,94.16|95.92|95.52|97|97.42|97.6|97.78|97.82|97.56|97.78,94.1458|95.9224|95.4829|97.0041|97.4253|97.5917|97.7736|97.8249|97.5656|97.7795,956|0|0|0|1|0|2|0|2|2|0|1156|1|0|1|0|0|2|2|2|2|4|933|8|3|1|3|5|7|3|0|1|3|1003|0|18|0|4|2|2|0|0|3|0|973|1|4|0|1|12|0|0|2|3|0|856|4|0|2|2|4|1|0|1|2|4|979|0|0|0|1|2|6|5|6|1|0|1010|1|13|3|4|1|6|1|8|2|0|950|7|3|0|0|5|7|5|0|3|0|967
3,leaky_relu,leaky_relu,0,interleave,512,0.003,10,ce,ok,490.283,99.5311,97.88,97.8769,98.09,98.0675,97.88,10,0.396024|0.157176|0.106533|0.0779293|0.0599014|0.046777|0.0361396|0.0271707|0.020954|0.0167975,88.3556|95.3156|96.8089|97.6356|98.2267|98.5667|98.8467|99.2267|99.3733|99.5311,94.3|95.52|96.78|97|97.5|97.3|97.62|97.68|97.7|97.88,94.287|95.492|96.7682|96.9936|97.4961|97.3013|97.6091|97.6739|97.6961|97.8769,953|0|1|1|1|0|3|0|3|1|0|1156|1|0|1|0|0|3|3|0|1|4|946|5|4|1|1|5|2|0|0|1|6|1003|1|11|0|7|4|0|0|0|4|0|972|1|8|0|2|7|0|1|3|6|1|845|7|0|4|2|4|1|0|0|0|2|984|0|0|0|1|2|2|1|5|0|0|1028|1|5|4|3|2|4|0|2|3|0|962|2|2|2|0|3|8|3|0|8|4|960
4,leaky_relu,leaky_relu,0,interleave,512,0.003,10,ce,ok,495.738,99.5733,97.82,97.8186,98.1,98.072,97.82,10,0.398641|0.155936|0.104789|0.0768227|0.0589755|0.0462486|0.0368113|0.0275011|0.0207864|0.0163115,88.5467|95.2756|96.9244|97.6844|98.1956|98.66|98.9067|99.2311|99.4422|99.5733,94.62|95.4|96.6|97.1|96.34|97.38|97.78|97.7|97.7|97.82,94.6185|95.4009|96.603|97.1125|96.3528|97.375|97.7852|97.7076|97.6971|97.8186,953|0|2|0|1|0|3|0|2|2|0|1155|1|1|1|0|0|4|2|0|2|1|952|4|3|0|1|4|0|2|0|1|4|1010|0|11|0|6|1|0|0|0|2|0|980|1|4|1|1|5|0|2|4|9|1|836|7|1|5|4|4|1|0|1|3|2|978|0|2|0|0|0|9|2|3|0|0|1028|1|2|4|4|5|7|0|2|1|1|957|1|4|0|0|5|10|0|0|9|1|961
5,leaky_relu,leaky_relu,0,interleave,512,0.003,10,ce,ok,493.375,99.5,97.82,97.8204,97.94,97.9167,98,9,0.391326|0.153464|0.104374|0.0769577|0.059723|0.0447977|0.0360257|0.0291391|0.0216122|0.0174895,88.88|95.4711|96.8867|97.68|98.1978|98.5733|98.9489|99.1311|99.3844|99.5,94.56|95.82|96.7|97.14|97.62|97.86|97.5|97.72|98|97.82,94.5357|95.815|96.7047|97.1386|97.6132|97.8617|97.4935|97.7245|97.9945|97.8204,954|0|0|0|1|0|3|0|3|2|0|1149|1|3|0|0|0|4|7|0|1|1|949|3|2|0|2|4|4|3|0|1|8|1003|0|8|0|10|2|1|0|0|5|0|961|0|6|4|2|16|0|1|2|9|0|840|5|0|8|4|4|0|0|0|2|0|983|0|2|0|0|0|11|1|1|0|0|1025|1|6|4|1|3|3|0|6|1|0|962|2|3|0|1|4|3|2|0|6|3|968
1,tanh,relu,0.5,interleave,512,0.01,10,ce,ok,514.934,99.5511,97.88,97.8785,98.25,98.2249,97.9,8,0.272187|0.115718|0.0797872|0.0563501|0.043098|0.0337446|0.0266382|0.0190952|0.0129445|0.014171,91.6489|96.42|97.4667|98.18|98.5867|98.88|99.0378|99.3267|99.5822|99.5511,96.06|95.1|97.34|97.2|97.66|97.64|97.32|97.9|97.52|97.88,96.0595|95.1468|97.3469|97.2169|97.6545|97.6425|97.3215|97.9033|97.5013|97.8785,956|1|0|1|1|0|1|0|3|0|0|1160|1|0|1|0|0|2|0|0|2|3|947|7|2|0|1|5|1|1|0|0|5|1008|1|12|0|2|5|0|1|0|2|0|962|0|8|6|2|13|0|1|2|8|0|844|5|0|3|6|4|1|0|1|0|0|983|0|2|0|0|1|3|2|2|0|0|1032|1|4|4|4|1|3|0|2|2|0|964|2|3|0|0|1|4|3|0|9|1|969
