seed,act1,act2,ratio,layout,hidden,lr,epochs,loss,status,seconds,train_acc,val_acc,val_f1,test_acc,test_f1,best_val_acc,best_val_epoch,epoch_loss,epoch_train_acc,epoch_val_acc,epoch_val_f1,test_confusion
2,relu,relu,0,interleave,12,0.003,10,mse,ok,11.5745,93.7511,91.86,91.7963,92.34,92.2771,92.8,8,0.0476403|0.0191809|0.0156959|0.0140128|0.0128459|0.0120601|0.0115198|0.0110757|0.0107564|0.010424,66.6911|88.9444|90.8178|91.6622|92.2778|92.7733|93.0622|93.36|93.5578|93.7511,86.74|89.52|91.14|91.04|91.96|92.16|92.66|92.8|92.5|91.86,86.4087|89.328|91.0007|90.9613|91.8338|92.0232|92.5285|92.7047|92.3816|91.7963,970|0|1|5|4|4|3|0|15|2|0|1061|10|7|1|2|0|2|14|2|5|14|838|39|6|3|8|7|30|5|1|5|14|951|0|19|1|5|24|9|3|4|1|2|892|1|6|1|11|62|8|3|4|53|13|771|9|6|45|6|14|3|7|0|8|13|931|0|14|0|2|7|11|14|9|3|0|947|3|39|3|4|4|16|3|12|2|0|960|7|12|1|2|6|12|3|0|8|19|913
seed,act1,act2,ratio,layout,hidden,lr,epochs,loss,status,seconds,train_acc,val_acc,val_f1,test_acc,test_f1,best_val_acc,best_val_epoch,epoch_loss,epoch_train_acc,epoch_val_acc,epoch_val_f1,test_confusion
4,relu,relu,0,interleave,12,0.003,10,mse,ok,11.5772,94.1622,93.7,93.6281,93.38,93.3133,93.7,10,0.0496639|0.020175|0.0157706|0.013814|0.0126643|0.0118587|0.0112703|0.0107441|0.0103304|0.0100193,65.0911|88.3978|90.8178|91.8911|92.5689|93.0222|93.46|93.7444|93.9667|94.1622,85.52|89.76|90.62|91.98|92.26|93.04|93.34|93.42|93.54|93.7,85.2524|89.6222|90.4628|91.8601|92.1484|92.9472|93.2514|93.3281|93.4529|93.6281,976|0|2|4|4|3|5|0|9|1|0|1064|15|3|2|7|0|3|4|1|12|6|887|5|8|7|15|5|9|1|1|5|19|941|0|28|2|11|12|10|6|4|1|0|906|2|10|4|4|46|6|1|5|28|7|846|12|2|8|3|12|1|5|0|10|8|954|0|0|0|1|6|13|12|11|1|0|977|0|14|5|21|11|21|3|36|15|2|889|8|15|1|0|11|13|10|1|16|11|898
3,relu,relu,0,interleave,12,0.003,10,mse,ok,11.5974,94.4222,93.2,93.1147,93.58,93.5269,93.2,10,0.0506874|0.0205064|0.0156541|0.0134544|0.0121288|0.0112708|0.0106787|0.0102668|0.00985954|0.00958581,64.2978|88.0867|90.8711|92.0822|92.8933|93.3867|93.7378|93.9556|94.2533|94.4222,85.02|88.96|90.92|91.64|92.16|92.74|92.52|92.4|92.84|93.2,84.7524|88.817|90.8582|91.5428|92.0707|92.6685|92.4558|92.2804|92.7569|93.1147,972|0|1|2|2|3|10|1|13|0|0|1057|14|3|2|4|1|5|12|1|9|5|886|6|12|2|10|6|17|2|3|5|25|921|1|38|2|9|16|9|2|3|4|0|908|0|10|4|8|44|4|2|4|22|6|841|21|1|16|1|7|1|1|0|11|5|961|0|4|0|1|5|19|8|10|1|0|976|4|11|3|13|8|10|2|11|20|2|935|7|9|2|0|8|13|12|2|15|14|901
1,relu,relu,0,interleave,12,0.003,10,mse,ok,11.6486,93.7022,92.8,92.7024,93.35,93.2765,92.8,10,0.0491843|0.0202488|0.0163931|0.0144692|0.0132947|0.012428|0.0118674|0.0113254|0.0109348|0.0106401,65.2378|88.1244|90.3844|91.4778|92.1156|92.7622|92.9489|93.3578|93.6089|93.7022,85.58|88.44|90.2|90.84|91.56|91.78|92.34|92.36|92.52|92.8,85.0883|88.3358|90.0249|90.6676|91.4506|91.6162|92.229|92.2596|92.4114|92.7024,964|0|2|8|3|7|6|0|13|1|0|1063|10|5|3|0|1|3|13|1|6|7|863|10|9|2|23|8|25|2|1|5|20|941|1|34|2|8|16|1|1|2|1|0|936|1|22|1|6|13|9|4|7|31|7|812|15|2|26|5|4|1|0|0|11|4|965|0|5|0|2|6|13|2|15|3|0|970|5|19|2|10|3|19|3|15|15|0|943|1|10|2|1|11|32|19|1|11|11|878
8,relu,relu,0,interleave,12,0.003,10,mse,ok,13.1003,93.8378,92.7,92.6005,93.25,93.1735,92.76,8,0.0521873|0.0189769|0.0153815|0.0136904|0.0126196|0.0119877|0.0114779|0.0110827|0.0107712|0.0105441,62.9578|89.0644|91.1711|92.0689|92.5711|92.9778|93.3044|93.4689|93.7044|93.8378,86.88|89.54|91.3|91.7|92.32|91.84|92.42|92.76|92.7|92.7,86.552|89.3308|91.1855|91.5426|92.2055|91.7525|92.277|92.6454|92.6156|92.6005,971|0|1|1|2|7|7|1|12|2|0|1057|15|4|1|3|3|2|14|0|7|4|876|5|9|9|16|2|26|1|2|3|23|924|1|47|2|11|12|4|1|1|2|0|934|4|9|4|5|23|12|1|9|18|10|837|14|4|12|1|9|1|5|0|11|7|950|1|6|0|0|5|20|0|18|3|0|980|1|8|3|7|6|10|4|36|12|5|921|7|8|1|2|7|30|20|0|25|8|875
6,relu,relu,0,interleave,12,0.003,10,mse,ok,13.1856,93.92,92.82,92.6905,93.21,93.1248,92.98,8,0.0511266|0.0191231|0.015357|0.0137095|0.012701|0.0119774|0.0114859|0.0110089|0.01068|0.0103832,63.2867|88.9644|91.0133|91.8933|92.5333|92.9533|93.2222|93.6422|93.8044|93.92,86.36|89.74|91.5|91.9|92.24|92.24|92.72|92.98|92.92|92.82,85.9898|89.5376|91.3662|91.7604|92.0751|92.0778|92.6043|92.8741|92.8085|92.6905,979|1|2|2|3|4|4|0|7|2|0|1068|13|1|2|6|0|6|2|1|9|7|875|9|8|3|18|7|15|4|6|7|27|934|1|21|2|11|14|6|2|2|1|0|929|1|15|3|3|27|17|2|4|23|9|828|13|4|12|6|14|0|8|0|6|6|954|0|1|1|1|6|15|2|12|4|1|977|5|12|8|15|14|22|2|17|23|0|905|5|17|0|1|9|22|18|0|21|16|872
5,relu,relu,0,interleave,12,0.003,10,mse,ok,13.2045,93.4044,92.54,92.4403,92.74,92.6681,92.54,10,0.0503724|0.0206641|0.0169352|0.0154669|0.0144307|0.0134357|0.0127256|0.0121591|0.0116979|0.0113118,64.9267|88.0244|90.0156|90.84|91.5378|92.0911|92.5756|92.9111|93.2067|93.4044,85.62|89.24|89.96|90.52|91.26|91.6|92.12|92.32|92.46|92.54,85.3564|89.0951|89.8159|90.3924|91.1333|91.424|92.0131|92.2187|92.3294|92.4403,969|0|3|3|2|7|7|3|9|1|0|1056|9|7|2|8|0|5|11|1|9|7|847|20|4|5|20|14|27|2|3|5|10|938|0|42|1|10|7|13|0|3|2|0|872|2|15|2|2|85|4|0|5|29|10|827|15|8|15|5|6|1|2|1|7|14|953|0|5|1|1|8|7|6|10|4|0|982|1|16|2|13|5|29|2|29|8|2|909|12|7|1|0|7|5|16|0|10|9|921
7,relu,relu,0,interleave,12,0.003,10,mse,ok,13.21,93.0867,92.16,92.0319,92.73,92.6455,92.16,10,0.0588774|0.0272738|0.0198205|0.0167647|0.0151525|0.0141541|0.0134447|0.0128112|0.0122622|0.0117747,54.7689|83.9711|87.8978|89.88|90.9444|91.6156|92.0356|92.5467|92.7622|93.0867,78.02|87|88.7|90.4|90.42|91.28|91.64|91.48|91.68|92.16,76.2826|86.8426|88.553|90.3292|90.2864|91.1766|91.5411|91.3587|91.5514|92.0319,963|0|4|3|3|10|11|3|7|0|2|1057|15|4|1|4|2|0|10|4|14|4|873|6|3|3|24|7|19|2|3|5|28|917|1|33|3|17|20|2|4|2|1|0|921|1|14|5|6|29|11|0|7|20|9|821|23|12|14|1|7|1|3|0|13|4|959|0|3|0|1|5|9|1|13|4|0|982|5|15|3|16|6|9|8|20|17|3|923|6|9|1|1|10|28|16|4|38|12|857
9,relu,relu,0,interleave,12,0.003,10,mse,ok,13.256,93.7556,92.92,92.8017,93.15,93.0684,92.92,10,0.0541194|0.0200826|0.0161372|0.0146051|0.0136483|0.0128163|0.0122284|0.0117363|0.0112765|0.0108768,60.6356|88.8689|90.6711|91.4689|92.1489|92.5844|93.0889|93.32|93.5889|93.7556,86.22|89.5|90.7|91.02|91.7|91.94|92.06|92.54|92.62|92.92,86.0412|89.3085|90.5614|90.8616|91.5678|91.8193|91.9461|92.4356|92.477|92.8017,965|0|4|3|4|10|7|0|10|1|0|1063|16|2|4|3|1|4|4|2|3|6|890|5|8|4|14|6|17|2|0|2|36|898|1|42|4|18|24|4|3|3|4|2|929|1|10|2|11|18|11|2|7|20|16|816|16|9|18|3|6|3|4|0|10|4|958|0|4|1|2|8|8|1|15|3|0|993|0|5|3|18|10|9|7|15|13|2|934|0|9|1|2|9|38|8|0|25|15|869
