seed,act1,act2,ratio,layout,hidden,lr,epochs,loss,status,seconds,train_acc,val_acc,val_f1,test_acc,test_f1,best_val_acc,best_val_epoch,epoch_loss,epoch_train_acc,epoch_val_acc,epoch_val_f1,test_confusion
2,relu,relu,0,interleave,128,0.01,10,mse,ok,85.0885,99.1,97.46,97.4663,97.74,97.7163,97.64,9,0.0209203|0.00781229|0.00560597|0.00436105|0.00365752|0.00303845|0.00259392|0.00228244|0.00197734|0.00167659,86.4533|95.3489|96.6778|97.4956|97.8844|98.3022|98.5533|98.7467|98.9311|99.1,93.9|95.78|96.9|96.5|97.26|97.04|97.22|97.34|97.64|97.46,93.8702|95.7721|96.9041|96.5207|97.264|97.0385|97.2225|97.3299|97.64|97.4663,953|0|0|1|1|0|4|0|3|1|0|1160|1|0|0|0|0|0|2|1|2|5|939|11|1|3|1|2|4|1|0|3|4|1008|1|11|0|3|1|2|1|1|8|0|945|0|11|2|1|25|0|1|2|7|0|843|7|0|4|5|3|2|0|1|0|2|982|0|1|0|0|3|4|7|1|0|0|1021|1|8|3|7|3|11|1|2|2|0|951|2|2|0|0|3|1|4|0|7|1|972
3,relu,relu,0,interleave,128,0.01,10,mse,ok,85.0904,99.1022,97.72,97.7194,98.01,97.9848,97.86,9,0.020648|0.00771634|0.00549894|0.00424585|0.003572|0.00295587|0.00250335|0.00208811|0.0018817|0.00165465,86.5378|95.5111|96.7622|97.5222|98.02|98.3133|98.6689|98.8689|98.9889|99.1022,94.3|95.68|96.36|96.52|96.9|97.38|97.4|97.56|97.86|97.72,94.2755|95.6654|96.3533|96.5309|96.9051|97.3815|97.3964|97.5616|97.8664|97.7194,948|0|2|1|1|0|6|0|4|1|0|1153|2|1|2|1|0|2|2|1|0|1|945|3|3|1|4|5|3|4|0|1|7|1006|0|11|0|5|1|2|0|0|1|0|979|0|4|1|1|8|0|2|4|5|1|843|7|1|3|3|2|0|0|0|2|2|984|0|1|0|0|2|6|1|2|0|1|1028|1|4|3|6|2|4|1|4|5|1|954|2|2|0|0|6|10|2|0|8|1|961
1,relu,relu,0,interleave,128,0.01,10,mse,ok,85.1024,99.0733,97.72,97.7318,97.86,97.8341,97.78,9,0.020589|0.00788842|0.00559897|0.00448207|0.00367197|0.00307099|0.00262445|0.00229105|0.00199459|0.00172709,86.6511|95.2667|96.6644|97.4022|97.9133|98.2911|98.56|98.7444|98.9533|99.0733,94.28|95.88|96.42|96.64|96.78|97.72|97.54|97.72|97.78|97.72,94.2569|95.8886|96.4198|96.6351|96.7689|97.7175|97.5279|97.7163|97.78|97.7318,953|0|0|1|1|0|4|0|3|1|0|1153|3|2|2|0|0|3|0|1|5|1|943|6|5|0|1|3|3|2|0|0|4|1005|0|12|0|5|5|2|1|0|2|0|974|1|3|0|2|11|0|1|3|5|0|848|5|0|4|3|5|1|0|1|4|5|972|0|3|0|1|0|10|6|6|0|0|1010|1|11|3|1|4|5|1|3|0|0|961|4|3|0|1|3|7|3|0|5|1|967
4,relu,relu,0,interleave,128,0.01,10,mse,ok,85.1273,99.0756,97.6,97.5995,97.89,97.8682,97.6,10,0.0217026|0.0077317|0.00551646|0.00437345|0.00359975|0.00308604|0.00261746|0.00224692|0.00193932|0.0017023,85.4689|95.4289|96.7978|97.4556|98.0222|98.3133|98.5311|98.7844|98.9733|99.0756,93.98|96.14|96.6|96.8|96.96|97.1|97.4|97.48|97.48|97.6,93.9565|96.1271|96.5939|96.7961|96.9582|97.1005|97.4097|97.4815|97.477|97.5995,945|0|0|1|1|0|8|0|7|1|0|1154|2|0|1|0|0|3|3|1|4|1|936|4|2|2|4|5|11|0|0|2|3|998|1|8|1|7|10|3|0|0|4|0|972|0|7|1|1|9|0|1|2|2|1|848|6|1|7|1|2|0|0|0|1|2|983|0|3|0|1|1|4|2|3|0|1|1027|1|5|1|5|1|1|2|1|2|1|967|1|1|0|1|1|11|4|0|6|7|959
7,relu,relu,0,interleave,128,0.01,10,mse,ok,84.4705,99.0778,97.9,97.8979,97.89,97.8594,97.9,10,0.0208581|0.00795637|0.00566656|0.00437689|0.00361754|0.0030424|0.00255836|0.00219523|0.00194081|0.00174115,86.4667|95.2444|96.6067|97.4667|97.9711|98.2711|98.5733|98.8156|98.98|99.0778,94|96|96.44|96.6|97.2|97.52|97.28|97.56|97.78|97.9,93.9847|95.9991|96.4302|96.6184|97.2017|97.521|97.2842|97.562|97.7853|97.8979,952|0|0|0|1|2|1|0|6|1|0|1158|2|0|0|0|0|1|3|0|2|2|943|3|2|3|1|5|5|3|0|1|6|1001|0|11|0|4|6|4|0|1|4|0|966|1|3|2|2|15|0|1|1|6|2|843|3|0|9|4|7|1|1|0|1|1|975|0|5|0|0|2|8|1|2|0|0|1027|0|5|2|6|4|1|0|4|0|0|964|1|2|1|0|5|6|3|0|10|3|960
6,relu,relu,0,interleave,128,0.01,10,mse,ok,84.487,99.02,97.82,97.8182,97.66,97.6365,97.82,10,0.0210579|0.00766008|0.0054975|0.00435741|0.00367076|0.00306145|0.00263967|0.00229148|0.00194683|0.00176583,86.2911|95.3889|96.7511|97.4822|97.8889|98.2667|98.52|98.7444|98.9444|99.02,93.6|96.12|96.94|97.24|97.36|97.44|97.72|97.54|97.74|97.82,93.5601|96.1175|96.9276|97.249|97.3621|97.4366|97.7188|97.5428|97.7491|97.8182,954|0|0|1|1|0|3|0|3|1|0|1153|0|0|0|0|0|5|6|0|6|3|927|10|5|1|2|7|7|1|0|0|2|1007|0|8|0|9|6|1|1|1|4|0|962|0|7|2|2|15|1|1|3|10|0|842|4|0|5|3|4|1|0|1|2|2|978|0|3|0|0|2|4|2|2|0|0|1028|2|5|5|4|1|6|1|1|0|1|962|1|5|0|0|5|7|4|0|10|6|953
5,relu,relu,0,interleave,128,0.01,10,mse,ok,84.4875,99.0867,97.84,97.8406,98.03,98.0108,97.86,9,0.020615|0.00744944|0.00531183|0.00420941|0.00346517|0.00296208|0.00250303|0.00227646|0.00192553|0.00171808,86.3578|95.5911|96.8911|97.58|98.0333|98.3222|98.6578|98.7533|98.94|99.0867,94.1|96.46|96.52|96.22|96.76|97.3|97.32|97.46|97.86|97.84,94.0769|96.455|96.5155|96.2151|96.7501|97.2942|97.3251|97.4674|97.8619|97.8406,952|0|0|1|2|0|6|0|1|1|0|1154|3|0|1|0|0|3|2|1|2|1|951|3|2|1|1|5|2|1|0|0|5|1013|2|5|0|4|3|1|0|0|5|0|973|0|7|2|1|6|0|1|4|4|1|847|5|0|4|3|3|1|1|0|1|1|981|0|3|0|0|1|7|5|5|0|0|1019|1|7|3|2|6|10|1|4|3|1|951|1|2|0|1|7|11|2|0|4|1|962
8,relu,relu,0,interleave,128,0.01,10,mse,ok,84.5091,99.0578,97.62,97.618,97.65,97.6167,97.62,10,0.0202858|0.00752363|0.0054894|0.00425965|0.00353008|0.00293432|0.00255753|0.002177|0.0018696|0.00170767,86.8333|95.5311|96.7933|97.5178|98.0156|98.3244|98.5578|98.7911|99.0333|99.0578,94.56|95.62|97.02|97.16|97.22|97.24|97.58|97.32|97.46|97.62,94.5389|95.616|97.0137|97.1624|97.2265|97.2375|97.5831|97.3195|97.4642|97.618,954|0|0|1|1|0|4|0|2|1|0|1161|1|0|0|0|0|0|2|0|3|2|940|10|2|1|3|4|2|2|1|1|2|1006|0|7|0|9|4|3|0|1|3|0|971|0|7|1|1|10|0|0|2|10|3|834|10|0|8|2|4|1|0|0|2|2|980|0|2|0|0|3|3|5|6|0|0|1020|1|7|3|5|2|13|2|6|5|1|943|2|3|0|0|7|12|3|0|7|2|956
10,relu,relu,0,interleave,128,0.01,10,mse,ok,84.6097,99.12,97.84,97.8404,98.01,97.985,97.92,9,0.0207001|0.00767927|0.00546738|0.00423|0.00355886|0.00296872|0.00252519|0.00215547|0.00188484|0.00165671,86.3756|95.4133|96.8|97.5822|97.9689|98.3756|98.6133|98.8222|98.9422|99.12,94.52|95.98|96.34|97.32|97.18|97.56|97.18|97.58|97.92|97.84,94.4957|95.9847|96.326|97.3193|97.1844|97.5692|97.1865|97.5787|97.923|97.8404,955|0|0|0|2|0|2|0|3|1|0|1153|2|0|1|0|0|2|5|1|4|1|945|5|3|1|0|6|3|1|0|2|6|1002|0|10|0|6|3|4|0|0|3|0|968|0|4|3|1|15|0|0|2|7|1|842|6|0|4|7|4|1|0|0|2|2|979|0|3|0|0|2|4|0|1|0|0|1031|1|6|2|3|3|4|0|4|3|0|958|5|3|0|0|1|6|1|0|8|3|968
9,relu,relu,0,interleave,128,0.01,10,mse,ok,84.6199,99.0667,97.88,97.8781,97.84,97.8144,97.88,10,0.0207633|0.00779858|0.00547974|0.00435542|0.00354155|0.00307513|0.00263428|0.00231012|0.00197073|0.00169412,86.5333|95.3|96.82|97.5067|97.9911|98.2711|98.5244|98.7556|98.9156|99.0667,94.4|95.86|96.48|97.16|97.14|97.36|97.54|97.64|97.62|97.88,94.373|95.8439|96.46|97.1618|97.1476|97.356|97.5431|97.6421|97.6229|97.8781,955|0|0|0|1|2|3|0|1|1|0|1158|1|0|1|0|0|2|1|1|3|4|932|8|3|0|3|8|5|3|0|1|3|1004|0|12|0|8|3|2|1|1|3|0|969|1|7|0|1|11|0|0|3|8|1|845|3|0|4|5|4|1|0|0|1|3|980|0|2|0|0|2|6|5|4|1|0|1018|1|8|3|5|2|5|1|3|2|1|957|3|2|0|0|3|7|2|0|7|3|966
